level	word	pinyin	eng
3	更	gèng	more, even more, further, still, still more,
3	公园	gōng yuán	public park, CL:場|场[chǎng],
3	故事	gù shi	narrative, story, tale,
3	刮	guā	to blow (of the wind),
3	关	guān	mountain pass, to close, to shut, to turn off, to concern, to involve,
3	关系	guān xì	variant of 關係|关系[guān xì],
3	关心	guān xīn	to care for sth, caring, concerned,
3	关于	guān yú	pertaining to, concerning, regarding, with regards to, about, a matter of,
3	国家	guó jiā	country, nation, state, CL:個|个[gè],
3	果汁	guǒ zhī	fruit juice,
3	过去	guò qu	(in the) past, former, previous, to go over, to pass by,
3	还是	hái shi	or, still, nevertheless, had better,
3	害怕	hài pà	to be afraid, to be scared,
3	河	hé	river, CL:條|条,道[dào],
3	黑板	hēi bǎn	blackboard, CL:塊|块,個|个[gè],
3	护照	hù zhào	passport, CL:本,個|个[gè],
3	花	huā	flower, blossom, CL:朵,支,束,把,盆,簇[cù], fancy pattern, florid, to spend (money, time),
