simplified	traditional	pinyin	eng	freq
队	隊	dui4	squadron/team/group	162938
形	形	xing2	to appear/to look/form/shape	162049
社	社	she4	society/group	159527
便	便	bian4/pian2	ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap	159479
空	空	kong1/kong4	air/sky/empty/in vain, emptied/leisure	158539
决	決	jue2	breach (a dyke)/to decide/to determine	157959
治	治	zhi4	to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal	156904
展	展	zhan3	to use/to spread out/to postpone/to unfold	156759
马	馬	ma3	horse/horse chess piece/Surname	155772
科	科	ke1	branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody	155750
司	司	si1	company/control	155229
五	五	wu3	five/5	154316
基	基	ji1	base/foundation/basic/radical (chem.)	153462
眼	眼	yan3	eye	152079
书	書	shu1	book/letter	151357
非	非	fei1	non-/not-/un-	149915
则	則	ze2	(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle	149042
听	聽	ting1/ting4	listen/hear/obey, let/allow	148988
白	白	bai2	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous	148728
却	卻	que4	but/yet/however/while/to go back/to decline/to retreat/nevertheless	148679
界	界	jie4	boundary/scope/extent/circles/group/kingdom (taxonomy)	148438
达	達	da2	attain/pass through/achieve/reach/realize/clear/inform/notify/dignity	147907
光	光	guang1	light/ray/bright	147639
放	放	fang4	to release/to free/to let go/to put/to place/to let out	147600
强	強	qiang2	strength/force/power/powerful/better	146665
即	即	ji2	namely/right away/to approach/to draw near	146459
像	像	xiang4	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem	145291
难	難	nan2/nan4	difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold	144597
且	且	qie3	further/moreover	144597
权	權	quan2	authority/power/right	144506
思	思	si1	to think/to consider	144503
王	王	wang2	king/Wang (proper name)	143948
象	象	xiang4	shape/form/appearance/elephant/image under a map (math.)	143453
完	完	wan2	to finish/to be over/whole/complete/entire	143120
设	設	she4	to set up/to arrange/to establish/to found/to display	142742
式	式	shi4	type/form/pattern/style	142292
色	色	se4/shai3	color/look/appearance, color/dice	142231
路	路	lu4	(surname)/road/path/way	141812
记	記	ji4	to remember/to note/mark/sign/to record	139501
南	南	nan2	south	139078
品	品	pin3	conduct/grade/thing/product/good	138528
住	住	zhu4	to live/to dwell/to reside/to stop	138503
告	告	gao4	to tell/to inform/to say	138285
类	類	lei4	kind/type/class/category/similar/like/to resemble	138280
求	求	qiu2	to seek/to look for/to request/to demand/to beseech	138216
据	據	ju1/ju4	sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy	137990
程	程	cheng2	rule/order/regulations/formula/journey/procedure/sequence/a surname	136962
北	北	bei3	north	136939
边	邊	bian1	side/edge/margin/border/boundary	136277
死	死	si3	to die/inpassable/uncrossable/inflexible/rigid	136194
张	張	zhang1	(a measure word)/(a surname)/open up	136087
该	該	gai1	that/the above-mentioned/most likely/to deserve/should/ought to/owe	136053
交	交	jiao1	to deliver/to turn over/to make friends/to intersect (lines)/to pay (money)	135727
规	規	gui1	compass/rule	134528
万	萬	wan4	Wan (surname)/ten thousand/a great number	134220
取	取	qu3	to take/to get/to choose/to fetch	134102
拉	拉	la1	to pull/to play (string instruments)/to drag/to draw	134051
格	格	ge2	frame/rule	133986
望	望	wang4	hope/expect/to visit/to gaze (into the distance)/look towards/towards	133145
觉	覺	jiao4/jue2	a nap/a sleep, feel/find that/thinking/awake/aware	132041
术	術	shu4/zhu2	method/technique, Atractylis lancea var. ovata	131634
领	領	ling3	neck/collar/to lead/to receive	130993
共	共	gong4	all together/in while/to share/common/general/together	128824
确	確	que4	authenticated/solid/firm, authenticated/solid/firm/real/true	128417
传	傳	chuan2/zhuan4	to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography	128186
师	師	shi1	a division (milit.)/teacher/master/expert/model	128086
观	觀	guan1/guan4	to look at/to watch/to observe/to behold, Taoist monastery	127796
清	清	qing1	clear/distinct/complete/pure	127716
今	今	jin1	today/modern/present/current/this/now	126624
切	切	qie1/qie4	to cut/to slice, close to	126391
院	院	yuan4	courtyard/institution	126115
让	讓	rang4	to ask/to let/permit/have (someone do something)/to yield/to allow	125660
识	識	shi2/zhi4	to know/knowledge, to record/write a footnote	125220
候	候	hou4	wait	124865
带	帶	dai4	band/belt/girdle/ribbon/area/zone/region/wear/carry/lead/bring/consists of/show/and	124619
导	導	dao3	to transmit/to lead/to guide/to conduct/to direct	124463
争	爭	zheng1	struggle/fight	124420
运	運	yun4	to move/to transport/to use/to apply/fortune/luck/fate	123903
笑	笑	xiao4	laugh/smile	122902
飞	飛	fei1	to fly	122290
风	風	feng1	wind/news/style/custom/manner	121803
步	步	bu4	a step/a pace/walk/march/stages in a process	121267
改	改	gai3	to change/to alter/to transform/to correct	121023
收	收	shou1	to receive/to accept/to collect/in care of (used on address line after name)	120897
根	根	gen1	radical (chem.)/root/basis	120778
干	幹	gan1/gan4	dry/to concern/shield, to work/to do/to manage, manage/stem	120564
造	造	zao4	to make/to build/to invent/to manufacture	120496
言	言	yan2	to speak/to say/talk/word	120308
联	聯	lian2	to ally/to unite/to join	120301
持	持	chi2	to grasp/to hold/support/manage/direct/maintain	119990
组	組	zu3	to form/compose/make up/group/to organize/cord	119734
每	每	mei3	each/every	119594
济	濟	ji4	aid/ferry/frugal	119161
车	車	che1/ju1	car/a vehicle/machine/to shape with a lathe, vehicle on land	118824
亲	親	qin1/qing4	dear/intimate/parent/relation/closely related, parents-in-law of one's offspring	118451
极	極	ji2	extremely/pole (geography, physics)/utmost/top	117736
林	林	lin2	woods/forest	117675
服	服	fu2	clothes/dress/garment/submit/take (medicine)	116961
快	快	kuai4	fast/quick/swift	116923
办	辦	ban4	to do/to manage/to handle/to go about/to run/to set up/to deal with	116904
议	議	yi4	criticize/discuss	116810
往	往	wang3/wang4	to go (in a direction)/past/previous/towards, toward/(of a train) bound for	116539
元	元	yuan2	(dynasty)/dollar/primary/first	116488
英	英	ying1	(surname)/English/brave	116193
士	士	shi4	scholar/warrior/knight	115704
证	證	zheng4	prove, confirm, verify/proof, certificate/proof/to prove/to demonstrate/to confirm/certificate/proof	115610
近	近	jin4	near/close (to)/approximately	115441
失	失	shi1	to lose/to miss/to fail	115346
转	轉	zhuan3/zhuan4	to convey/to forward (mail)/to transfer/to turn/to shift, to revolve/to turn/to circle about/to walk about	115087
夫	夫	fu1	porter, husband/man	114784
令	令	ling4	make or cause to be/order/command/decree/honorable	114570
准	準	zhun3	to allow/to grant/to permit/accurate/standard, accurate/standard	113877
布	布	bu4	diffuse/extend/notify, to declare/to announce/to spread/to make known/spread/(cotton) cloth	113652
始	始	shi3	begin	112987
怎	怎	zen3	how	112294
呢	呢	ne/ni2	(question particle), woolen material	112185
存	存	cun2	exist/deposit/store/keep/survive	110970
未	未	wei4	1-3 p.m./8th earthly branch/not yet/did not/have not/not	110491
远	遠	yuan3	far/distant/remote	110455
叫	叫	jiao4	to (be) call(ed)	110131
台	臺	tai2	surname/(classical) you (in letters)/platform/Taiwan (abbr.), desk/platform, (measure word)/platform/stage/terrace/stand/support/desk/station/broadcasting station, typhoon	109362
单	單	chan2/dan1/shan4	chieftain, bill/list/form/single/only/sole, (surname)	109359
影	影	ying3	picture/image/reflection/shadow	108862
具	具	ju4	tool/device/utensil/equipment/instrument	108811
罗	羅	luo1/luo2	fussy/talkative, subordinate in a gang of bandits, (surname)/gauze/to collect/to gather/to catch/to shift	108376
字	字	zi4	letter/symbol/character/word	108218
爱	愛	ai4	to love/affection/to be fond of/to like	108167
击	擊	ji1	to hit/to strike/to break	107513
流	流	liu2	to flow/to spread/to circulate/to move	107397
备	備	bei4	to prepare/get ready/to provide or equip	107114
兵	兵	bing1	soldiers/a force/an army/weapons/arms/military/warlike	106982
连	連	lian2	(surname)/even/as/join/to link/successively	106814
调	調	diao4/tiao2	mode (music)/to move (troops)/tune/tone/melody/to transfer, harmonize/reconcile/blend/suit well/provoke/incite	106379
深	深	shen1	deep/profound	105924
商	商	shang1	commerce/consult	105406
算	算	suan4	regard as/to figure/to calculate/to compute	105293
质	質	zhi4	hostage/substance/nature/quality	104560
团	團	tuan2	regiment/round/circular/group/society, dumpling	104151
集	集	ji2	to gather/to collect/collected works	104019
百	百	bai3	hundred	103938
需	需	xu1	to require/to need/to want/necessity/need	103832
价	價	jia4/jie	price/value/valence (on an atom), great/good/middleman/servant	103634
花	花	hua1	flower/blossom/to spend (money, time)/fancy pattern	103367
党	黨	dang3	party, party/association/club/society	103165
华	華	hua2/hua4	(abbreviation for) China/(surname) Hua/magnificent/splendid/flowery, (surname)/name of a mountain	103158
城	城	cheng2	city walls/city/town	102833
石	石	dan4/shi2	10 pecks, rock/stone	102149
级	級	ji2	level/grade/rank/step	102018
整	整	zheng3	exactly/in good order/whole/complete/entire/in order/orderly	100910
府	府	fu3	prefecture/mansion	100771
离	離	li2	to leave/to depart/to go away/from	100744
况	況	kuang4	moreover/situation	100680
亚	亞	ya4	Asia/Asian/second/next to/inferior	100251
请	請	qing3	to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request	100226
技	技	ji4	skill	99790
际	際	ji4	border/edge/boundary/between/among/interval/while	99412
约	約	yao1/yue1	weigh, appointment/agreement/to arrange/to restrict/approximately	99148
示	示	shi4	to show/reveal	98963
复	復	fu4	again/recover/reply to a letter/to repeat/to duplicate, repeat, double, overlap	98822
病	病	bing4	ailment/sickness/illness/disease/fall ill/sick/defect	98692
