simplified	traditional	pinyin	eng	freq
邺	鄴	ye4	(surname)/name of ancient district	353
莘	莘	shen1/xin1	long/numerous, Asarum sieboldi	353
燮	燮	xie4	(surname)/harmony/harmonize	353
剁	剁	duo4	chop (meat)	352
觐	覲	jin4		352
铛	鐺	cheng1/dang1	frying pan/griddle, clank/clang/sound of metal	352
谗	讒	chan2	slander/defame/misrepresent/to speak maliciously	351
镍	鎳	nie4	nickel	351
臃	臃	yong1		351
墒	墒	shang1		350
晔	曄	ye4	bright light/to sparkle	350
燔	燔	fan2	burn/to roast meat for sacrifice	350
嘭	嘭	peng1		349
涿	涿	zhuo1	place name	349
醯	醯	xi1	acyl	349
箩	籮	luo2	basket	348
鄱	鄱	po2	name of a lake	347
睨	睨	ni4	look askance	347
诤	諍	zheng4		346
坳	坳	ao4	a depression/cavity/hollow	346
鹭	鷺	lu4	heron	346
砷	砷	shen1	arsenic	346
唏	唏	xi1	sound of sobbing	345
伲	伲	ni4		343
猬	蝟	wei4		343
琥	琥	hu3	amber	343
殁	歿	mo4	to end/to die	343
蚩	蚩	chi1	(surname)/ignorant/worm	343
泾	涇	jing1	name of a river	342
缥	縹	piao3/piao1	misty/indistinct	341
殓	殮	lian4	prepare body for coffin	340
鳅	鰍	qiu1	loach	340
氰	氰	qing2		339
诋	詆	di3	defame/to slander	339
刍	芻	chu2	(surname)/cut grass/hay/straw/fodder	339
芷	芷	zhi3	(plant root used for medicine)	339
嶙	嶙	lin2	ranges of hills	339
逅	逅	hou4	meet unexpectedly	339
舫	舫	fang3	2 boats lashed together/large boat	339
呓	囈	yi4	talk in sleep	338
唰	唰	shua1		338
茁	茁	zhuo2	increase/sprout	337
馑	饉	jin3	time of famine or crop failure	337
妫	嬀	gui1	(surname)/name of a river	337
骧	驤	xiang1	prance (as a horse)	337
苷	苷	gan1		336
擢	擢	zhuo2	pull out/select	336
峋	峋	xun2	ranges of hills	336
袂	袂	mei4	sleeve of a robe	336
懑	懣	men4	melancholy	335
蓑	蓑	suo1		334
涞	淶	lai2	brook/ripple	333
祉	祉	zhi3	felicity	333
踹	踹	chuai4	kick/trample	333
掇	掇	duo1		331
沏	沏	qi1	to steep (tea)	331
诳	誑	kuang2	deceive/lies	331
噫	噫	yi1	(interj. of approval)/belch	331
饽	餑	bo1	cake/biscuit	331
饪	飪	ren4	cooked food/cook until well done	330
绺	綹	liu3	skein/tuft/lock	330
谘	諮	zi1	consult	329
飧	飧	sun1	supper	328
迳	逕	jing4	way/path/direct/diameter	328
铡	鍘	zha2	lever-knife	327
枞	樅	cong1	abies firma	326
熨	熨	yu4/yun4	reconciled/smooth, an iron/to iron	325
鋈	鋈	wu4	-plated/to plate	324
荭	葒	hong2	herb	324
赊	賒	she1	buy on credit	323
俦	儔	chou2	comrades/friends/companions	323
戛	戛	jia2	a lance/standing alone	323
湎	湎	mian3	drunk	322
幺	幺	yao1		322
凇	凇	song1		321
芪	芪	qi2		321
觯	觶	zhi4	goblet	321
龌	齷	wo4	dirty/small-minded	321
挞	撻	ta4	flog/rapid	320
嬴	嬴	ying2	full/profit/win	320
苻	苻	fu2	Angelica anomala	320
嘁	嘁	qi1	whispering sound	320
鞯	韉	jian1	saddle blanket	320
肽	肽	tai4	peptide	319
恸	慟	tong4	grief	318
迨	迨	dai4	catch/seize/until	317
钰	鈺	yu4	hard metals	317
儆	儆	jing3	warn/admonish	316
觎	覦	yu2	passionately desire	315
讫	訖	qi4	finished	315
滓	滓	zi3	dregs/sediment	314
僮	僮	tong2/zhuang4	boy, name of an ethnic group in Guangxi	314
媾	媾	gou4	to marry/to copulate	314
龇	齜	zi1	projecting teeth	314
胯	胯	kua4	thigh/leg	313
涮	涮	shuan4	rinse	313
绾	綰	wan3	bind up/string together	313
杈	杈	cha1/cha4	fork of a tree/pitchfork, branches of a tree/fork of a tree	313
赳	赳	jiu1		313
斛	斛	hu2	5 pecks (M)	313
觥	觥	gong1	big/cup made of horn/horn wine container	313
疸	疸	dan3/da	jaundice	313
卞	卞	bian4	(surname)/hurried	312
愠	慍	yun4	indignant/feel hurt	312
拮	拮	jie2	antagonistic/laboring hard/pressed	311
庠	庠	xiang2	asylum for the aged/school	311
烨	燁	ye4	blaze of fire/glorious	311
菠	菠	bo1	spinach	310
窈	窈	yao3	deep/quiet and elegant	310
罄	罄	qing4	entirely/exhausted/stern	309
囤	囤	dun4/tun2	bin for grain, to store/hoard	308
弁	弁	bian4	cap	308
奘	奘	zang4/zhuang3	great, fat/stout	308
咣	咣	guang1		308
缫	繅	sao1	reel silk from cocoons	308
腴	腴	yu2	fat on belly/fertile/rich	308
缈	緲	miao3	indistinct	307
喵	喵	miao1	meow (onomat. for cat's mewing)	306
潢	潢	huang2	dye paper/lake/pond/mount scroll	306
遛	遛	liu4/liu2	to stroll/walk a horse/to linger	306
柚	柚	you4	pomelo/shaddock	306
郏	郟	jia2	name of a district in Henan	305
荻	荻	di2	Anaphalis yedoensis	305
藜	藜	li2	Chenopodium album	305
琨	琨	kun1	(jade)	305
镳	鑣	biao1	darts/escort/horsebit	304
雉	雉	zhi4	ringed pheasant	303
橐	橐	tuo2	sack/tube for blowing fire	302
骈	駢	pian2	literary style	301
蛉	蛉	ling2	sandfly	301
艮	艮	gen4	a sign in trigram	301
搽	搽	cha2	apply (ointment, powder)/smear/paint on	300
濡	濡	ru2	dilatory/to moisten	300
寮	寮	liao2	Laos/fellow-official/hut	300
柩	柩	jiu4	bier	300
佗	佗	tuo2	carry on the back	299
啷	啷	lang1		299
诜	詵	shen1	inform/inquire	298
偻	僂	lou2/lv3	hunchback	297
夯	夯	hang1/ben4	drive piles	296
闱	闈	wei2	door to women's room/gate to palace	296
谖	諼	xuan1	Hemerocallis flava/false/forget	295
夥	夥	huo3	assistant/partner/many/great/numerous	295
枸	枸	gou1/gou3/ju3	Acgle sepiaria, Lycium chinense, Citrus medica	295
膑	臏	bin4	kneecap/patella	295
虻	虻	meng2	Tabanus trigonus/house fly	295
筠	筠	yun2/jun1	skin of bamboo	295
埽	埽	sao4	broom/dike	294
笞	笞	chi1	to whip with bamboo strips	294
臾	臾	yu2	(surname)/a moment/little while	294
婀	婀	e1	graceful/willowy/unstable	293
珞	珞	luo4	neck-ornament	292
粑	粑	ba1	tsamba (food in Tibet)	292
怵	怵	chu4	fearful/timid/to fear	291
绻	綣	quan3	bound in a league	291
殒	殞	yun3	perish/die	291
觊	覬	ji4	covet/long for	291
崂	嶗	lao2	name of a mountain in Shandong	291
颧	顴	quan2	cheek bones	290
嗑	嗑	ke4/ke1	to crack (seeds) with front teeth	290
榛	榛	zhen1	hazel tree/Corylus heterophylla	290
昱	昱	yu4	bright light	290
蜴	蜴	yi4	chameleon/Eumeces latiscutatus	289
鳝	鱔	shan4	Chinese yellow eel	289
噙	噙	qin2	hold in the mouth	288
淼	淼	miao3	a flood/infinity	288
矾	礬	fan2	alum	287
硼	硼	peng2	boron	287
囿	囿	you4	park/to limit/be limited to	287
泅	泅	qiu2	submerge/swim under water	286
邂	邂	xie4	meet unexpectedly	286
钜	鉅	ju4	great/hard iron	286
蠹	蠹	du4	bookworm/Lepisma saccharina	286
垩	堊	e4	to whitewash/to plaster	285
乩	乩	ji1	to divine	283
嗝	嗝	ge2	hiccup/belch	283
淦	淦	gan4	name of a river	283
樽	樽	zun1	goblet/bottle/wine-jar	282
诮	誚	qiao4	ridicule/to blame	280
揆	揆	kui2	consider/estimate	279
啐	啐	cui4	sip/spit	279
淅	淅	xi1	sound of rain/sleet etc.	279
榉	櫸	ju3	Zeikowa acuminata	279
馗	馗	kui2	cheekbone/crossroads/high	278
辔	轡	pei4	bridle/reins	278
暹	暹	xian1	Siam	278
骛	騖	wu4	fast/greedy/run rapidly	278
鱿	魷	you2	cuttlefish	278
苫	苫	shan1	straw mat/thatch	277
犷	獷	guang3		277
獠	獠	liao2	fierce/hunt/name of a tribe	277
詈	詈	li4	curse/scold	277
竦	竦	song3	horrified/incite/raise	277
篙	篙	gao1	pole for punting boats	276
诨	諢	hun4	jest/nickname	276
铰	鉸	jiao3	scissors/to cut (with scissors)	275
馄	餛	hun2	Chinese ravioli	275
蜚	蜚	fei3/fei1	gad-fly	275
峒	峒	tong2/dong4	name of a mountain	275
滢	瀅	ying2	clear/limpid (of water)	275
琬	琬	wan3	ensign of royalty	274
靓	靚	jing4/liang4	make up (face)	274
狻	狻	suan1	(mythical animal)	273
璨	璨	can4	gem/luster of gem	273
犟	犟	jiang4		273
鸬	鸕	lu2	fishing cormorant	272
螨	蟎	man3		272
芩	芩	qin2	Phragmites japonica	271
嘹	嘹	liao2	clear sound/cry (of cranes etc.)	271
锟	錕	kun1	steel sword	271
蜇	蜇	zhe1/zhe2	to sting, jellyfish	271
洹	洹	huan2	name of a river	270
栉	櫛	zhi4		270
俪	儷	li4	husband and wife	269
钍	釷	tu3	thorium	269
锨	鍁	xian1		268
瑁	瑁	mao4	(jade)	268
壹	壹	yi1	one (alternate form of 一 used on checks)	267
痿	痿	wei3	atrophy	267
粕	粕	po4	grains in distilled liquor	266
犄	犄	ji1	ox-horns/wing of an army	266
瘙	瘙	sao4		266
饯	餞	jian4	farewell dinner/preserves	265
抟	摶	tuan2	roll round with hand	265
衲	衲	na4	cassock/to line	265
踮	踮	dian3	tip toe	264
龅	齙	pao2/bao1	projecting teeth	264
愎	愎	bi4	perverse/obstinate	262
馥	馥	fu4		262
梏	梏	gu4	braces (med.)/fetters/manacles	261
讣	訃	fu4	obituary notice	260
邝	鄺	kuang4	(surname)	260
艿	艿	nai3		260
趺	趺	fu1	instep/tarsus	260
鲟	鱘	xun2	acipenser sp./sturgeon	260
剜	剜	wan1	scoop out	259
绉	縐	zhou4	crepe/wrinkle	259
罅	罅	xia4	crack/grudge	259
笥	笥	si4	hamper/trunk	259
衩	衩	cha3/cha4	open seam of a garment/shorts/panties, slit on either side of robe	258
姣	姣	jiao1	(surname)/cunning/pretty	257
斫	斫	zhuo2	chop/carve wood	257
鹗	鶚	e4	fish eagle/fish hawk/osprey	257
爻	爻	yao2	lines on a trigram	256
猕	獼	mi2	macaque	256
晗	晗	han2		256
铩	鎩	sha1	spear	256
窕	窕	tiao3	quiet and elegant	256
仨	仨	sa1	three (of)	255
搡	搡	sang3	push back/push over	255
崴	崴	wei1/wai3	high, lofty/precipitous	255
酢	酢	zuo4	toast to host by guest	255
檄	檄	xi2	dispatch/order	254
佞	佞	ning4	eloquent/talent	254
孑	孑	jie2	alone/mosquito larvae/small	254
璀	璀	cui3	luster of gems	254
岷	岷	min2	name of a river in Sichuan	253
舛	舛	chuan3	mistaken/erroneous/contradictory	253
邕	邕	yong1	harmonious	253
铂	鉑	bo2	platinum	252
霁	霽	ji4	sky clearing up	252
犒	犒	kao4	give a bonus to	251
馏	餾	liu4/liu2	reheat by steaming	250
阈	閾	yu4	threshold	250
麋	麋	mi2	(surname)/moose/river bank	250
麒	麒	qi2	mythical unicorn	250
苁	蓯	cong1	Boschniakia glabra	249
摁	摁	en4	to press (with finger)	249
涔	涔	cen2	overflow/rainwater/tearful	249
宥	宥	you4	forgive/help/profound	249
妍	妍	yan2	beautiful	249
铤	鋌	ding4/ting3	ingot, big arrow/walk fast	249
锷	鍔	e4	blade edge/sharp	249
嗲	嗲	dia3		248
恽	惲	yun4	(surname)	248
麂	麂	ji3	Moschus chinensis	248
赝	贗	yan4	false	247
胛	胛	jia3	shoulder blade	247
哂	哂	shen3	smile	246
撷	擷	xie2	collect	245
呶	呶	nao2	clamor	245
噘	噘	jue1	pout	245
懔	懍	lin3	fear	245
栎	櫟	li4	oak/Quercus serrata	245
桎	桎	zhi4	fetters	245
霰	霰	xian4	sleet	245
飨	饗	xiang3	offer or enjoy sacrifice	245
揄	揄	yu2	draw out/let hanging	244
噔	噔	deng1		244
娣	娣	di4	wife of a younger brother	244
薏	薏	yi4	Coix lacryma	243
忝	忝	tian3	to shame	243
咤	吒	zha4		243
嗵	嗵	tong1		242
迤	迤	yi2/yi3	winding, extending to	242
贲	賁	ben1/bi4	energetic, bright	242
胪	臚	lu2	belly/skin/to state	242
鍪	鍪	mou2	iron pot/metal cap	242
泸	瀘	lu2	name of a river/place name	242
蔫	蔫	nian1	fade/wither	241
刈	刈	yi4	mow	241
僖	僖	xi1	(surname)/cautious/merry/joyful	241
咿	咿	yi1	(onomat.)	241
鹌	鵪	an1	quail	241
嗪	嗪	qin2		240
茏	蘢	long2	Polygonum posumbu	239
茯	茯	fu2	Pachyma cocos/china root	239
岫	岫	xiu4	cave/mountain peak	239
嵘	嶸	rong2	lofty	239
轱	軲	gu1		239
怼	懟	dui4	dislike/hate	239
铨	銓	quan2	estimate/select	239
昕	昕	xin1	dawn	237
郢	郢	ying3	name of an ancient city	236
咩	咩	mie1	the bleating of sheep	236
馊	餿	sou1	rancid/soured (as food)	236
髡	髡	kun1	make the head bald	236
澧	澧	li3	(surname)/name of a river	236
苣	苣	ju4	(lettuce)	235
濯	濯	zhuo2	rinse/to cleanse	235
盥	盥	guan4	wash (especially hands)	235
囡	囡	nan1	one's daughter/to filch/to secrete	234
砺	礪	li4	grind/sandstone	234
佘	佘	she2	(surname)	233
谶	讖	chen4	prophecy/omen	233
弑	弒	shi4	murder a superior	233
楂	楂	cha2/zha1	fell trees/raft/to hew, Chinese quince/hawthorn	233
翦	翦	jian3	cut with scissors/scissors	233
怩	怩	ni2	shy, timid, bashful/look ashame	232
蠼	蠼	qu2		232
霏	霏	fei1	fall of snow	232
楹	楹	ying2	pillar	232
讴	謳	ou1	sing ballads/songs	231
锲	鍥	qie4	cut/to carve	231
慵	慵	yong1	careless	230
胝	胝	zhi1	callous	230
砭	砭	bian1	a stone probe/acupuncture	230
潍	濰	wei2	name of a river	229
杵	杵	chu3	pestle/to poke	229
樾	樾	yue4	shade of trees	229
帼	幗	guo2	cap worn by women/feminine	228
碣	碣	jie2	stone tablet	228
诌	謅	zou1/zhou1	make up (a story)	227
徕	徠	lai2	to come	227
胴	胴	dong4	large intestine/torso	227
钴	鈷	gu3	cobalt	227
裟	裟	sha1	Buddhist monk's robe	227
啶	啶	ding4	-d + ine (chem.)	227
铣	銑	xian3/xi3	shining metal	226
铱	銥	yi1	iridium	226
楫	楫	ji2	oar/to row	226
赭	赭	zhe3	ocher	226
碛	磧	qi4	moraine/rocks in shallow water	225
酊	酊	ding3	intoxicated	225
魑	魑	chi1	mountain elf	225
醛	醛	quan2	aldehyde	225
剐	剮	gua3	cut off the flesh as punishment	224
畦	畦	qi2	furrow/small plot of farm land	224
陂	陂	pi2/po1/bei1	reservoir, rugged/uneven	224
闶	閌	kang1		224
阄	鬮	jiu1	(draw) lots/lot (in a game of chance)	224
祚	祚	zuo4	blessing/the throne	223
鹘	鶻	hu2/gu3	falcon/migratory bird	223
泱	泱	yang1	agitated (wind, cloud)/boundless	222
趄	趄	ju1/qie4	hesitate/mark time, recline	222
骅	驊	hua2	chestnut horse	222
陲	陲	chui2	frontier	222
郧	鄖	yun2	name of a feudal state	221
倜	倜	ti4	energetic/exalted/magnanimous	221
呤	呤	ling2/ling4	purine in chem. compound/whisper	221
燧	燧	sui4	fire/speculum	221
铉	鉉	xuan4	stand for bronze tripod (archeol.)/used in names, e.g. 卢武铉 President Loh Roh Mu-hyun of South Korea	221
粲	粲	can4	beautiful/bright/splendid/smilingly	220
骶	骶	di3		220
峁	峁	mao3		219
忸	忸	niu3	accustomed to/blush/be shy	219
渌	淥	lu4	clear (water)/strain liquids	219
骞	騫	qian1	defective/raise	219
髭	髭	zi1	mustache	219
戡	戡	kan1	kill/suppress	219
钨	鎢	wu1	tungsten	218
谲	譎	jue2	deceitful	218
苋	莧	xian4	Amarantus mangostanus	218
锃	鋥	zeng4		218
蜊	蜊	li2	clam	218
幄	幄	wo4	tent	217
闼	闥	ta4	door of an inner room	217
戕	戕	qiang1		217
骊	驪	li2	black horse/good horse	217
虢	虢	guo2	name of an ancient state	217
烩	燴	hui4	cooked in soy and vinegar	216
傥	儻	tang3	if/unexpectedly	216
妲	妲	da2	concubine of last Shang emperor	216
绌	絀	chu4	crimson silk/deficiency/to stitch	216
桠	椏	ya1	forking branch	216
袈	袈	jia1	Buddhist monk's robe	216
薮	藪	sou3	marsh/place of concourse	215
揿	撳	qin4	to press (bell)	215
杲	杲	gao3	high/sun shines brightly/to shine	215
肓	肓	huang1	region between heart and diaphragm	215
厝	厝	cuo4	bury/to place/dispose	214
莅	蒞	li4	attend (official functions)	214
氤	氤	yin1	generative forces/magic emanation	214
缙	縉	jin4	red silk	214
衮	袞	gun3	imperial robe	213
诟	詬	gou4	sense of shame/to abuse	213
旖	旖	yi3	fluttering of flag	213
硒	硒	xi1	selenium	213
唁	唁	yan4	condole with	212
嬗	嬗	shan4	changes and succession	212
硎	硎	xing2	whetstone	212
裱	裱	biao3	hang (paper)/mount (painting)	212
颦	顰	pin2	knit the brows	212
靥	靨	ye4	dimple	211
纥	紇	ge1/he2	knot, tassels	211
煨	煨	wei1	simmer/to roast in ashes	211
礴	礴	bo2	fill/extend	211
鏖	鏖	ao2	violent fighting	211
蝈	蟈	guo1	cyrtophyllus sp.	210
笏	笏	hu4	tablet held at an audience	210
羿	羿	yi4	name of a famous archer	210
鼐	鼐	nai4	incense tripod	209
湟	湟	huang2	name of a river	209
甑	甑	zeng4	caldron/rice pot	209
炜	煒	wei3	glow/raging fire	209
煲	煲	bao1	pot or saucepan/to boil/cook or heat	209
锉	銼	cuo4	to file, a file (tool for shaping metal)/to file	209
笕	筧	jian3	bamboo water pipe	209
喑	喑	yin1	dumb	208
嶂	嶂	zhang4	cliff/range of peaks	208
浔	潯	xun2	name of a river/steep bank	208
弭	弭	mi3	to stop/repress	208
妪	嫗	yu4	brood over/old woman/protect	208
锂	鋰	li3	lithium	208
苡	苡	yi3	plantago major l. var. asiatica	207
孳	孳	zi1	industrious/produce/bear	207
颏	頦	ke1/ke2	chin, chin	207
醴	醴	li3	sweet wine	207
渚	渚	zhu3	islet/bank	206
轭	軛	e4	restrain/yoke	206
鹬	鷸	yu4	common snipe	206
蚝	蠔	hao2		206
膘	膘	biao1	fat of a stock animal	205
邛	邛	qiong2	mound/place name	205
痨	癆	lao2	tuberculosis	205
褡	褡	da1	cummerbund	205
耦	耦	ou3	pair/mate/ploughshare	205
覃	覃	tan2	(surname)/deep	205
馔	饌	zhuan4	food/delicacies	204
篾	篾	mie4	bamboo splints for baskets	204
兖	兗	yan3	place name	203
阋	鬩	xi4		203
遨	遨	ao2	make excursion/ramble/travel	203
爰	爰	yuan2	therefore/to lead on to	203
痂	痂	jia1	scab	203
艄	艄	shao1	stern of boat	203
耨	耨	nou4	hoe	203
沤	漚	ou1/ou4	bubble/froth, steep	202
邋	邋	la1		202
焓	焓	han2		202
秣	秣	mo4	feed a horse with grain/horse feed	202
昶	昶	chang3	bright/long day	202
绦	絛	tao1	braid/cord/sash	200
俎	俎	zu3	a stand for food at sacrifice	200
榫	榫	sun3	tenon and mortise	199
蟪	蟪	hui4	(cicada)/Platypleura kaempferi	199
稗	稗	bai4	millet/Panicum crus	198
謇	謇	jian3	speak out boldly	198
氩	氬	ya4	argonium	198
锴	鍇	kai3	high quality iron	198
龉	齬	yu3	irregular teeth	198
烃	烴	ting1	hydrocarbon	198
俣	俁	yu3	big	197
嬷	嬤	ma1/mo2	ma/mamma	197
肱	肱	gong1	brachium/humerus	197
鸢	鳶	yuan1	kite	197
笫	笫	zi3	planks of bed/sleeping-mat	197
痤	痤	cuo2	acne	197
菏	菏	he2		196
莆	莆	pu2	place name	196
芨	芨	ji2/ji1	Bletilla hyacinthina (mucilaginous)/Acronym for the Chinese Elder tree ?草	196
阕	闋	que4	section of a song/shut	196
砣	砣	tuo2	steelyard weight	196
碜	磣	chen3		196
鼹	鼴	yan3	mole	196
猷	猷	you2	consult with/to scheme	195
竽	竽	yu2	(mus. instr.)	195
舸	舸	ge3	barge	195
诓	誆	kuang1	mislead/to swindle	194
錾	鏨	zan4	engrave	194
淬	淬	cui4	dip into water/to temper	193
隗	隗	wei3	(surname)/eminent/lofty	193
悌	悌	ti4	do one's duty as a younger brother	193
姘	姘	pin1	be a mistress or lover	193
槭	槭	qi4		193
邈	邈	miao3	profound/remote	193
婕	婕	jie2	handsome	193
歙	歙	she4/xi1	name of a district in Anhui	192
稹	稹	zhen3	accumulate/fine and close	192
蹴	蹴	cu4	carefully/kick/tread on/stamp	192
砒	砒	pi1	arsenic	191
痈	癰	yong1	carbuncle	191
镏	鎦	liu2	lutecium	191
羯	羯	jie2	castrate a ram/deer's skin	191
豕	豕	shi3	hog/swine	191
鲂	魴	fang2	bream/Zeus japanicus	191
蓖	蓖	bi4	the castor-oil plant	190
匦	匭	gui3	small box	190
笤	笤	tiao2	broom	190
峥	崢	zheng1	excel/lofty	189
徭	徭	yao2	compulsory service	189
浃	浹	jia1		189
烊	烊	yang2	molten/smelt	189
酆	酆	feng1	(surname)/name of an ancient city	188
缢	縊	yi4	hang/strangle oneself	188
褓	褓	bao3	cloth for carrying baby on back	188
蚨	蚨	fu2	(water-beetle)/money	188
翳	翳	yi4	feather screen/to screen/to shade	188
趔	趔	lie4	stumble	188
炔	炔	que1/gui4	alkyne	187
誊	謄	teng2	make a (clean) copy	187
赜	賾	ze2	mysterious	187
仃	仃	ding1	alone	187
勖	勖	xu4	exhort/stimulate	187
葺	葺	qi4	to repair	187
蚴	蚴	you4	larva	187
泷	瀧	long2/shuang1	torrential (rain), name of a river in Guangdong	187
蛴	蠐	qi2	larva/maggot	187
媸	媸	chi1	ugly woman	186
俳	俳	pai2	irresolute/not serious/variety show	185
诖	詿	gua4	deceive/disturb	185
茑	蔦	niao3	grossulariaceae	185
逡	逡	qun1	shrink from	185
孱	孱	can4/chan2	dodger, coward/weak	185
砦	砦	zhai4	stronghold/stockade	185
跸	蹕	bi4	to clear streets when emperor tours	185
祜	祜	hu4	celestial blessing	185
伉	伉	kang4	husband/wife	184
溴	溴	xiu4	bromine	184
屐	屐	ji1	clogs	184
飚	飈	biao1		184
蛞	蛞	kuo4		184
掮	掮	qian2	carry on shoulders	183
崆	崆	kong1	name of a mountain	183
庾	庾	yu3	(surname)/name of a mountain	183
橛	橛	jue2	a peg/low post	183
矸	矸	gan1		183
鸨	鴇	bao3	Chinese bustard/procuress	183
圻	圻	qi2	boundary/a border	183
缂	緙	ke4	to woof	183
蒯	蒯	kuai3	a rush/scirpus cyperinus	183
诹	諏	zou1	choose/consult	182
啭	囀	zhuan4	sing, chirp, warble, twitter	182
饧	餳	xing2/tang2	malt-sugar/molasses	182
镉	鎘	ge2	cadmium	182
鸪	鴣	gu1	partridge/Francolinus chinensis	182
蛩	蛩	qiong2	anxious/grasshopper/a cricket	182
蠖	蠖	huo4	looper caterpillar	182
劭	劭	shao4	(surname)/stimulate to effort	181
哐	哐	kuang1		181
崧	崧	song1	lofty/name of a mountain in Henan	181
杼	杼	zhu4	shuttle of a loom	181
棂	欞	ling2	lattice, the lattice of a window a sill, a lintel	181
螫	螫	shi4/zhe1	to sting, to sting	181
龃	齟	ju3	irregular/uneven teeth	181
饔	饔	yong1	dressed food/first meal of the day	181
遑	遑	huang2	leisure	181
颢	顥	hao4	bright/white	181
腱	腱	jian4	gristle	180
襁	襁	qiang3	cloth for carrying baby on back	180
忾	愾	kai4	anger	179
濠	濠	hao2	trench	179
牝	牝	pin4	female	179
蛄	蛄	gu1	mole-cricket	179
鲆	鮃	ping2		179
嗄	嗄	a2/sha4	ah (exclamatory part.), hoarse	178
灏	灝	hao4	vast (of water)	178
疥	疥	jie4	scabies	177
苜	苜	mu4	clover	177
荞	蕎	qiao2	buckwheat	177
嘣	嘣	beng1		177
夤	夤	yin2	late at night	177
砝	砝	fa3		177
颞	顳	nie4	temporal bones	177
忤	忤	wu3	disobedient/unfilial	176
遢	遢	ta4/ta1	careless, negligent, slipshod	176
旎	旎	ni3	fluttering of flags	176
瘛	瘛	chi4		176
魉	魎	liang3	sprite/fairy	176
辇	輦	nian3	emperor's carriage	176
瓤	瓤	rang2	pulp of fruit	175
荥	滎	xing2/ying2	place name	175
涫	涫	guan4		175
娌	娌	li3	husband's brother's wife	175
氚	氚	chuan1	tritium	175
臁	臁	lian2		175
毂	轂	gu1/gu3	wheel, hub of wheel	175
碇	碇	ding4	anchor	175
毖	毖	bi4	careful/prevent	174
壅	壅	yong1	obstruct/stop up	174
吡	吡	bi3		174
缛	縟	ru4	adorned/beautiful	174
玮	瑋	wei3	(reddish jade)/precious/rare	174
羟	羥	qiang3	hydroxyl (radical)	174
珈	珈	jia1	gamma/jewelry	173
颀	頎	qi2	tall	173
虼	虼	ge4	flea	173
佝	佝	gou1		172
翕	翕	xi4/xi1	agree	172
遴	遴	lin2	(surname)/select for appointment	172
珏	珏	jue2	gems mounted together	172
郛	郛	fu2	suburbs	172
玖	玖	jiu3	(black stone)/nine (fraud-proof)	171
蹇	蹇	jian3	(surname)/difficulty/lame	171
逋	逋	bu1	flee/abscond/owe	171
氅	氅	chang3	overcoat	171
粽	糉	zong4	rice dumplings wrapped in leaves	171
诂	詁	gu3	comment/explain	171
岢	岢	ke3	name of a mountain	170
聒	聒	guo1		170
髁	髁	ke1	condyles	170
黍	黍	shu3	broomcorn millet/glutinous millet	169
芾	芾	fei4/fu2	small, luxuriance of vegetation	169
淝	淝	fei2	name of a river	169
鲎	鱟	hou4	king crab	169
鞣	鞣	rou2	suede/chamois/tannin/to tan	169
髋	髖	kuan1	pelvis/pelvic	169
闳	閎	hong2	(surname)/big/gate	169
潆	瀠	ying2	eddy/small river	169
汨	汨	mi4	name of a river	168
胍	胍	gua1	guanidine	168
阏	閼	e4/yan1	shut/stop, first wives of xiong-nu chiefs	167
钤	鈐	qian2	latch of door/seal	167
鹜	鶩	wu4		167
鬈	鬈	quan2	to curl/curled	167
铵	銨	an3	ammonium	167
戬	戩	jian3	carry to the utmost/to cut	167
崮	崮	gu4	(element in mountain names)	166
枰	枰	ping2	chess-like game	166
樯	檣	qiang2	boom/mast	166
脍	膾	kuai4	chopped meat or fish	166
畲	畲	yu2/she1	cultivated field	166
衾	衾	qin1	coverlet/quilt	166
蹼	蹼	pu3	web (of feet of ducks, frogs, etc.)	166
劬	劬	qu2	labor	165
咭	咭	ji1		165
囫	囫	hu2	whole/in one lump	165
洱	洱	er3	name of a river	165
刎	刎	wen3	cut across (throat)	164
芏	芏	du4		164
琊	琊	ya2		164
碚	碚	bei4	place name in Chongqing	164
鳕	鱈	xue3	codfish/Gadus macrocephalus	164
谪	謫	zhe2	disgrace (an official)/find fault	163
芎	芎	xiong1		163
恂	恂	xun2	sincere	163
槿	槿	jin3	Hibiscus syriacus/transient	163
鲢	鰱	lian2	Hypophthalmichthys moritrix	163
鲧	鯀	gun3	father of great yeu	163
嘧	嘧	mi4	(phonetic) as in pyrimidine	163
绀	紺	gan4	violet or purple	163
郦	酈	li4	(surname)/ancient place name	162
噱	噱	jue2	loud laughter	162
浠	浠	xi1	name of a river in Hubei	162
潸	潸	shan1	tearfully	162
跏	跏	jia1	sit cross-legged	162
鲶	鯰	nian2	sheat	162
矍	矍	jue2	(surname)/glance fearfully	161
苌	萇	chang2	carambola	161
抻	抻	chen1		161
琰	琰	yan3	gem/glitter of gems	161
鹚	鷀	ci2		161
龆	齠	tiao2	shed the milk teeth/young	161
臬	臬	nie4	provincial judge	161
芄	芄	wan2	Metaplexis stauntoni	160
呔	呔	tai3		160
雒	雒	luo4	black horse with white mane/fearful	160
觞	觴	shang1	feast/goblet	160
钒	釩	fan2	vanadium	159
饫	飫	yu4	full (as of eating)	159
阒	闃	qu4	live alone/quiet	159
槎	槎	cha2	a raft made of bamboo or wood/to fell trees/to hew	159
鸩	鴆	zhen4	poisonous/to poison	159
