pinyin,hanzi,hsk,translation
jìng lǐ,敬礼,6,"to salute, salute,"
jìng jiè,境界,6,"boundary, state, realm,"
jìng sài,竞赛,6,"race, competition, CL:個|个[gè],"
jìng xuǎn,竞选,6,"to take part in an election, to run for office,"
jìng tóu,镜头,6,"camera lens, camera shot (in a movie etc), scene,"
jiū fēn,纠纷,6,"a dispute, entanglement (law),"
jiū zhèng,纠正,6,"to correct, to make right,"
jiǔ jīng,酒精,6,"alcohol, ethanol CH3CH2OH, ethyl alcohol, also written 乙醇, grain alcohol,"
jiù jì,救济,6,"emergency relief, to help the needy with cash or goods,"
jiù jìn,就近,6,"nearby, in a close neighborhood,"
jiù yè,就业,6,"looking for employment, getting a job, to start a career,"
jiù zhí,就职,6,"to take office, to assume a post,"
jū gōng,鞠躬,6,"to bow,"
jū liú,拘留,6,"to detain (a prisoner), to keep sb in custody,"
jū shù,拘束,6,"to restrict, to restrain, constrained, awkward, ill at ease, uncomfortable, reticent,"
jū zhù,居住,6,"to reside, to dwell, to live in a place, resident in,"
jú bù,局部,6,"part, local,"
jú miàn,局面,6,"aspect, phase, situation,"
jú shì,局势,6,"situation, state (of affairs),"
jú xiàn,局限,6,"to limit, to confine, to restrict sth within set boundaries,"
jǔ dòng,举动,6,"act, action, activity, move, movement,"
jǔ shì wén míng,举世闻名,6,"(saying) world famous,"
jǔ shì zhǔ mù,举世瞩目,6,"to receive worldwide attention,"
jǔ zú qīng zhòng,举足轻重,6,"a foot's move sways the balance (idiom); to hold the balance of power, to play the decisive role,"
jǔ jué,咀嚼,6,"to chew, to think over,"
jǔ sàng,沮丧,6,"dispirited, dejected, dismayed,"
jù běn,剧本,6,"script for play, opera, movie etc, screenplay, scenario,"
jù liè,剧烈,6,"violent, acute, severe, fierce,"
jù jīng huì shén,聚精会神,6,"to concentrate one's attention (idiom),"
jù xī,据悉,6,"according to reports, it is reported (that),"
jué cè,决策,6,"strategic decision, decision-making, policy decision, to determine policy,"
jué wù,觉悟,6,"consciousness, awareness, Buddhist enlightenment (Sanskrit: cittotpāda),"
jué xǐng,觉醒,6,"to awaken, to come to realize, awakened to the truth, the truth dawns upon one, scales fall from the eyes, to become aware,"
jué wàng,绝望,6,"desperation, forlorn, hopeless,"
jūn duì,军队,6,"army troops, CL:支,個|个[gè],"
kǎ tōng,卡通,6,"cartoon,"
kāi cǎi,开采,6,"to extract (ore or other resource from a mine), to exploit, to mine,"
kāi chú,开除,6,"to expel,"
kāi kuò,开阔,6,"wide, open (spaces), to open up,"
kāi lǎng,开朗,6,"spacious and well-lit, open and clear, to open out (onto a wider vista), optimistic, cheerful, carefree, easy-going, open-minded,"
kāi míng,开明,6,"enlightened, open-minded, enlightenment,"
kāi pì,开辟,6,"to open up, to set up, to establish,"
kāi shuǐ,开水,6,"boiled water, boiling water,"
kāi tuò,开拓,6,"to break new ground (for agriculture), to open up (a new seam), to develop (border regions), fig. to open up (new horizons),"
kāi zhǎn,开展,6,"(begin to) develop, unfold, to start, to launch, to open, to carry out,"
kāi zhī,开支,6,"expenditures, pay, expenses, CL:筆|笔[bǐ],"
kān dēng,刊登,6,"to carry a story, to publish (in a newspaper or magazine),"
kān wù,刊物,6,"publication,"
kān tàn,勘探,6,"exploration,"
kàn dài,看待,6,"to look upon, to regard,"
kàn wàng,看望,6,"to visit, to pay a call to,"
kāng kǎi,慷慨,6,"vehement, fervent, generous, giving, liberal,"
káng,扛,6,"to carry on one's shoulder,"
kǎo chá,考察,6,"to inspect, to observe and study, on-the-spot investigation,"
kǎo gǔ,考古,6,"archaeology,"
kǎo hé,考核,6,"to examine, to check up on, to assess, to review, appraisal, review, evaluation,"
kǎo yàn,考验,6,"to test, to put to the test,"
kào lǒng,靠拢,6,"to draw close to,"
kē,磕,6,"to tap, knock,"
kē lì,颗粒,6,"kernel, granule, granulated (sugar, chemical product),"
kē mù,科目,6,"subject,"
kě wàng,渴望,6,"to thirst for, to long for,"
kě guān,可观,6,"considerable, impressive, significant,"
kě kǒu,可口,6,"tasty, to taste good,"
kě wù,可恶,6,"repulsive, vile, hateful, abominable,"
kě xiào,可笑,6,"funny, ridiculous,"
kě xíng,可行,6,"feasible,"
kè bù róng huǎn,刻不容缓,6,"to brook no delay, to demand immediate action,"
kè tí,课题,6,"task, problem, issue,"
kè hù,客户,6,"client, customer,"
kěn,啃,6,"to gnaw, to nibble, to bite,"
kěn qiè,恳切,6,"earnest, sincere,"
kēng,坑,6,"hole, pit, tunnel, to defraud,"
kōng dòng,空洞,6,"cavity, empty, vacuous,"
kōng qián jué hòu,空前绝后,6,"unprecedented and never to be duplicated, the first and the last, unmatched, unique,"
kōng xiǎng,空想,6,"daydream, fantasy, to fantasize,"
kōng xū,空虚,6,"hollow, emptiness, meaningless,"
kǒng,孔,6,"hole, CL:個|个[gè], classifier for cave dwellings,"
kǒng hè,恐吓,6,"to threaten, to menace,"
kǒng jù,恐惧,6,"fear, dread, phobia,"
kòng bái,空白,6,"blank space,"
kòng xì,空隙,6,"crack, gap between two objects, gap in time between two events,"
kǒu qì,口气,6,"tone of voice, the way one speaks, manner of expression, tone,"
kǒu qiāng,口腔,6,"oral cavity,"
kǒu tóu,口头,6,"oral, verbal,"
kǒu yīn,口音,6,"oral speech sounds (linguistics),"
kū jié,枯竭,6,"used up, dried up, exhausted (of resources),"
kū zào,枯燥,6,"dry and dull, uninteresting, dry-as-dust,"
kǔ jìn gān lái,苦尽甘来,6,"bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning,"
kuà,挎,6,"to carry (esp. slung over the arm, shoulder or side),"
kuà,跨,6,"to step across, to stride over, to straddle, to span,"
kuài huo,快活,6,"happy, cheerful,"
kuān chang,宽敞,6,"spacious, wide,"
kuǎn dài,款待,6,"to entertain, to be hospitable to,"
kuǎn shì,款式,6,"pattern, style, design, CL:種|种[zhǒng],"
kuāng,筐,6,"basket, CL:隻|只[zhī],"
kuàng kè,旷课,6,"to play truant, to cut classes,"
kuàng jià,框架,6,"frame, framework, fig. pattern, outline, organizing plan,"
kuàng qiě,况且,6,"moreover, besides, in addition, furthermore,"
kuī dài,亏待,6,"to treat sb unfairly,"
kuī sǔn,亏损,6,"deficit, (financial) loss,"
kūn chóng,昆虫,6,"insect, CL:隻|只,群,堆[duī],"
kǔn bǎng,捆绑,6,"to bind,"
kuò chōng,扩充,6,"to expand,"
kuò sàn,扩散,6,"to spread, to proliferate, to diffuse, spread, proliferation, diffusion,"
kuò zhāng,扩张,6,"expansion, dilation, to expand (e.g. one's power or influence), to broaden,"
lǎ ba,喇叭,6,"horn (automobile etc), loudspeaker, brass wind instrument, trumpet, suona 鎖吶|锁呐[suǒ nà],"
la,啦,6,"sentence-final particle, contraction of 了啊, indicating exclamation, particle placed after each item in a list of examples,"
lái lì,来历,6,"history, antecedents, origin,"
lái yuán,来源,6,"source (of information etc), origin,"
lán mù,栏目,6,"regular column or segment (in a publication or broadcast program), program (TV or radio),"
lǎn duò,懒惰,6,"idle, lazy,"
láng bèi,狼狈,6,"in a difficult situation, to cut a sorry figure, scoundrel! (derogatory),"
lǎng dú,朗读,6,"read aloud, read loudly and clearly,"
lāo,捞,6,"to fish up, to dredge up,"
láo dao,唠叨,6,"to prattle, to chatter, talkative, garrulous, to nag,"
láo gù,牢固,6,"firm, secure,"
láo sāo,牢骚,6,"discontent, complaint, to complain,"
lè qù,乐趣,6,"delight, pleasure, joy,"
lè yì,乐意,6,"to be willing to do sth, to be ready to do sth, to be happy to do sth, content, satisfied,"
léi dá,雷达,6,"radar (loanword),"
lèi sì,类似,6,"similar, analogous,"
lěng dàn,冷淡,6,"cold, indifferent,"
lěng kù,冷酷,6,"grim, unfeeling, callous,"
lěng què,冷却,6,"to cool off, cooling,"
lèng,愣,6,"to look distracted, to stare blankly, distracted, blank, (coll.) unexpectedly, rash, rashly,"
lí míng,黎明,6,"dawn, daybreak,"
lǐ chéng bēi,里程碑,6,"milestone,"
lǐ jié,礼节,6,"etiquette,"
lǐ cǎi,理睬,6,"to heed, to pay attention to,"
lǐ suǒ dāng rán,理所当然,6,"as it should be by rights (idiom); proper and to be expected as a matter of course, inevitable and right,"
lǐ zhí qì zhuàng,理直气壮,6,"in the right and self-confident (idiom); bold and confident with justice on one's side, to have the courage of one's convictions, just and forceful,"
lǐ zhì,理智,6,"reason, intellect, rationality,"
lì chǎng,立场,6,"position, standpoint, CL:個|个[gè],"
lì jiāo qiáo,立交桥,6,"overpass, flyover,"
lì tǐ,立体,6,"three-dimensional, solid, stereoscopic,"
lì zú,立足,6,"to stand, to have a footing, to be established, to base oneself on,"
lì dài,历代,6,"successive generations, successive dynasties, past dynasties,"
lì lái,历来,6,"always, throughout (a period of time), (of) all-time,"
lì hài,利害,6,"pros and cons, advantages and disadvantages, gains and losses,"
lì lǜ,利率,6,"interest rates,"
lì suǒ néng jí,力所能及,6,"as far as one's capabilities extend (idiom); to the best of one's ability, within one's powers,"
lì tú,力图,6,"to try hard to, to strive to,"
lì zhēng,力争,6,"to work hard for, to do all one can, to contend strongly,"
lì wài,例外,6,"(make an) exception,"
lián nián,连年,6,"successive years, over many years,"
lián suǒ,连锁,6,"to interlock, to be linked, chain (store etc),"
lián tóng,连同,6,"together with, along with,"
lián huān,联欢,6,"have a get-together,"
lián luò,联络,6,"communication, to get in touch with, to contact, connection (math.),"
lián méng,联盟,6,"alliance, union, coalition,"
lián xiǎng,联想,6,"to associate (cognitively), to make an associative connection, mental association, word prediction and auto-complete functions of input method editing programs,"
lián jié,廉洁,6,"honest, not coercive, honesty, integrity, incorruptible,"
liáng xīn,良心,6,"conscience,"
liàng,晾,6,"to dry in the air,"
liàng jiě,谅解,6,"to understand, to make allowances for, understanding,"
liáo kuò,辽阔,6,"vast, extensive,"
liè jǔ,列举,6,"a list, to list, to enumerate,"
lín,淋,6,"to drain, to drench, to drip, diseases of the bladder,"
lín chuáng,临床,6,"clinical,"
lìn sè,吝啬,6,"stingy, mean, miserly,"
líng xīng,零星,6,"fragmentary, random, bits and pieces, sporadic,"
líng chén,凌晨,6,"very early in the morning, in the wee hours,"
líng gǎn,灵感,6,"inspiration, insight, a burst of creativity in scientific or artistic endeavor,"
líng hún,灵魂,6,"soul, spirit,"
líng mǐn,灵敏,6,"smart, clever, sensitive, keen, quick, sharp,"
líng lì,伶俐,6,"clever, witty, intelligent,"
lǐng huì,领会,6,"to understand, to comprehend, to grasp,"
lǐng shì guǎn,领事馆,6,"consulate,"
lǐng tǔ,领土,6,"territory,"
lǐng wù,领悟,6,"to understand, to comprehend,"
lǐng xiān,领先,6,"to lead, to be in front,"
lǐng xiù,领袖,6,"leader, CL:個|个,位,名[míng],"
liū,溜,6,"to slip away, to escape in stealth, to skate,"
liú liàn,留恋,6,"reluctant to leave, to hate to have to go, to recall fondly,"
liú niàn,留念,6,"to keep as a souvenir, to recall fondly,"
liú shén,留神,6,"to take care, to be careful,"
liú làng,流浪,6,"to drift about, to wander, to roam, nomadic, homeless, unsettled (e.g. population), vagrant,"
liú lù,流露,6,"to express, to reveal (one's thoughts or feelings),"
liú máng,流氓,6,"rogue, hoodlum, gangster, immoral behavior,"
liú tōng,流通,6,"to circulate, to distribute, circulation, distribution,"
lóng yǎ,聋哑,6,"deaf and dumb,"
lóng zhòng,隆重,6,"grand, prosperous, ceremonious, solemn,"
lǒng duàn,垄断,6,"to enjoy market dominance, to monopolize,"
lǒng zhào,笼罩,6,"to envelop, to shroud,"
lǒu,搂,6,"to hug, to embrace, to hold in one's arms,"
lú zào,炉灶,6,"stove,"
lún chuán,轮船,6,"steamship, steamer, ocean liner, ship, CL:艘[sōu],"
lún kuò,轮廓,6,"an outline, silhouette,"
lún tāi,轮胎,6,"tire, pneumatic tire,"
lùn tán,论坛,6,"forum (for discussion),"
lùn zhèng,论证,6,"to prove a point, to expound on, to demonstrate or prove (through argument), proof,"
luō suō,啰唆,6,"see 囉嗦|啰嗦[luō suo],"
luó sī dīng,螺丝钉,6,"screw,"
luò chéng,落成,6,"to complete a construction project,"
luò shí,落实,6,"practical, workable, to implement, to carry out, to decide,"
luò yì bù jué,络绎不绝,6,"continuously; in an endless stream (idiom),"
lǚ cì,屡次,6,"repeatedly, time and again,"
lǚ xíng,履行,6,"to fulfill (one's obligations), to carry out (a task), to implement (an agreement), to perform,"
lvè duó,掠夺,6,"to plunder, to rob, also written 略奪|略夺,"
lvè wēi,略微,6,"a little bit, slightly,"
má bì,麻痹,6,"paralysis, palsy, numbness, to benumb,"
má mù,麻木,6,"numb, insensitive, apathetic,"
má zuì,麻醉,6,"anesthesia, fig. to poison (sb's mind),"
mǎ tóu,码头,6,"dock, pier, wharf, CL:個|个[gè],"
ma,嘛,6,"modal particle indicating that sth is obvious, particle indicating a pause for emphasis,"
mái fú,埋伏,6,"to ambush, to lie in wait for, to lie low, ambush,"
mái mò,埋没,6,"to engulf, to bury, to overlook, to stifle, to neglect, to fall into oblivion,"
mái zàng,埋葬,6,"to bury,"
mài,迈,6,"take a step,"
mài bó,脉搏,6,"a pulse (both medical and figurative),"
mán yuàn,埋怨,6,"to complain, to grumble (about), to reproach, to blame,"
màn xìng,慢性,6,"slow and patient, chronic (disease), slow to take effect (e.g. a slow poison),"
màn cháng,漫长,6,"very long, endless,"
màn huà,漫画,6,"caricature, cartoon, Japanese manga,"
màn yán,蔓延,6,"to extend, to spread,"
máng lù,忙碌,6,"busy, bustling,"
máng máng,茫茫,6,"boundless, vast and obscure,"
máng rán,茫然,6,"blankly, vacantly, at a loss,"
máng mù,盲目,6,"blind, blindly, ignorant, lacking understanding,"
mào chōng,冒充,6,"to feign, to pretend to be, to pass oneself off as,"
mào shèng,茂盛,6,"lush,"
méi,枚,6,"classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc, tree trunk, whip, wooden peg, used as a gag for marching soldiers (old),"
méi zhé,没辙,6,"(idiom) unable to solve; no way to escape a problem,"
méi jiè,媒介,6,"media, medium,"
méi tǐ,媒体,6,"media, esp. news media,"
měi guān,美观,6,"pleasing to the eye, beautiful, artistic,"
měi mǎn,美满,6,"happy, blissful,"
měi miào,美妙,6,"beautiful, wonderful, splendid,"
mén zhěn,门诊,6,"outpatient service,"
méng,蒙,6,"to cover, ignorant, to suffer (misfortune), to receive (a favor), to cheat,"
méng yá,萌芽,6,"sprout, germ of a plant,"
měng liè,猛烈,6,"fierce, violent (criticism etc),"
mèng xiǎng,梦想,6,"(figuratively) to dream of, dream,"
mī,眯,6,"to narrow one's eyes, to squint,"
mí bǔ,弥补,6,"to complement, to make up for a deficiency,"
mí màn,弥漫,6,"variant of 彌漫|弥漫[mí màn],"
mí huo,迷惑,6,"to puzzle, to confuse, to baffle,"
mí rén,迷人,6,"fascinating, enchanting, charming, tempting,"
mí shī,迷失,6,"lost, not knowing one's location,"
mí xìn,迷信,6,"superstition, to have a superstitious belief (in sth),"
mì dù,密度,6,"density, thickness,"
mì fēng,密封,6,"to seal up,"
miǎn de,免得,6,"so as not to, so as to avoid,"
miǎn yì,免疫,6,"immunity (to disease),"
miǎn lì,勉励,6,"to encourage,"
miǎn qiǎng,勉强,6,"to do with difficulty, to force sb to do sth, reluctant, barely enough,"
miàn mào,面貌,6,"appearance, face, features, CL:個|个[gè],"
miàn zi,面子,6,"outer surface, outside, honor, reputation, face (as in ""losing face""), self-respect, feelings, (medicinal) powder,"
miáo huì,描绘,6,"to describe, to portray,"
miǎo xiǎo,渺小,6,"minute, tiny, negligible, insignificant,"
miè shì,蔑视,6,"to loathe, to despise, contempt,"
miè wáng,灭亡,6,"to be destroyed, to become extinct, to perish, to die out, to destroy, to exterminate,"
mín jiān,民间,6,"among the people, popular, folk, non-governmental, involving people rather than governments,"
mín yòng,民用,6,"(for) civilian use,"
mǐn gǎn,敏感,6,"sensitive, susceptible, politically sensitive (pretext for censorship),"
mǐn jié,敏捷,6,"nimble, quick, shrewd,"
mǐn ruì,敏锐,6,"keen, sharp, acute,"
míng míng,明明,6,"obviously, plainly, undoubtedly, definitely,"
míng cì,名次,6,"position in a ranking of names,"
míng é,名额,6,"quota, number of places, place (in an institution, a group etc),"
míng fù qí shí,名副其实,6,"not just in name only, but also in reality (idiom),"
míng yù,名誉,6,"fame, reputation, honor, honorary, emeritus (of retired professor),"
mìng míng,命名,6,"to give a name to, to dub, to christen, to designate, named after, naming,"
mō suo,摸索,6,"to feel about, to grope about, to fumble, to do things slowly,"
mó,膜,6,"membrane, film,"
mó cā,摩擦,6,"friction, rubbing, chafing, fig. disharmony, conflict, same as 磨擦,"
mó hé,磨合,6,"to break in, to wear in,"
mó fàn,模范,6,"model, fine example,"
mó shì,模式,6,"mode, method,"
mó xíng,模型,6,"model, mould, matrix, pattern,"
mó guǐ,魔鬼,6,"devil,"
mó shù,魔术,6,"magic,"
mǒ shā,抹杀,6,"to erase, to cover traces, to obliterate evidence, to expunge, to blot out, to suppress,"
mò míng qí miào,莫名其妙,6,"unfathomable mystery (idiom); subtle and ineffable, unable to make head or tail of it, boring (e.g. movie),"
mò mò,默默,6,"in silence, not speaking,"
mò shuǐ r,墨水儿,6,"erhua variant of 墨水, ink,"
móu qiú,谋求,6,"to seek, to strive for,"
mú yàng,模样,6,"look, style, appearance, approximation, about, CL:個|个[gè],"
mǔ yǔ,母语,6,"native language, mother tongue, (linguistics) parent language,"
mù dǔ,目睹,6,"to witness, to see at first hand, to see with one's own eyes,"
mù guāng,目光,6,"sight, vision, view, gaze, look,"
mù yù,沐浴,6,"to take a bath, to bathe, to immerse,"
ná shǒu,拿手,6,"expert in, good at,"
nà mèn r,纳闷儿,6,"puzzled, bewildered,"
nài yòng,耐用,6,"durable,"
nán dé,难得,6,"seldom, rare, hard to come by,"
nán kān,难堪,6,"hard to take, embarrassed,"
nán miǎn,难免,6,"hard to avoid, difficult to escape from,"
nán néng kě guì,难能可贵,6,"rare and precious, valuable, remarkable,"
nǎo huǒ,恼火,6,"to get angry, irritated, to annoy, to aggravate, annoying,"
nèi hán,内涵,6,"meaning, content, essential properties implied or reflected by a notion, intention, connotation, self-possessed,"
nèi mù,内幕,6,"inside story, non-public information, behind the scenes, internal,"
nèi zài,内在,6,"intrinsic, innate,"
néng liàng,能量,6,"energy, capabilities,"
en,嗯,6,"interjection indicating approval, appreciation or agreement,"
nǐ dìng,拟定,6,"to draw up, to draft, to formulate,"
nián dù,年度,6,"year (e.g. school year, fiscal year), annual,"
niē,捏,6,"to pinch (with one's fingers), to knead, to make up,"
níng,拧,6,"to pinch, wring,"
níng gù,凝固,6,"to freeze, to solidify, to congeal, fig. with rapt attention,"
níng jù,凝聚,6,"to condense, to coagulate, coacervation (i.e. form tiny droplets), aggregation, coherent,"
níng shì,凝视,6,"to gaze at, to fix one's eyes on,"
nìng kěn,宁肯,6,"would rather..., it would be better..., would prefer,"
nìng yuàn,宁愿,6,"would rather, better,"
niǔ kòu ér,纽扣儿,6,"Buttons children,"
niǔ zhuǎn,扭转,6,"to reverse, to turn around (an undesirable situation),"
nóng hòu,浓厚,6,"dense, thick (fog, clouds etc), to have a strong interest in, deep, fully saturated (color),"
nóng lì,农历,6,"the traditional Chinese calendar, the lunar calendar,"
nú lì,奴隶,6,"slave,"
nuó,挪,6,"to shift, to move,"
nvè dài,虐待,6,"to mistreat, to maltreat, to abuse, mistreatment, maltreatment,"
ò,哦,6,"oh (interjection indicating that one has just learned sth),"
ōu dǎ,殴打,6,"to beat up, to come to blows, battery (law),"
Oū zhōu,欧洲,6,"Europe, European,"
ǒu tù,呕吐,6,"to vomit,"
pā,趴,6,"to lie on one's stomach, to lean forward, resting one's upper body (on a desktop etc), (Taiwan) percent,"
pái chì,排斥,6,"to reject, to exclude, to eliminate, to remove, to repel,"
pái chú,排除,6,"to eliminate, to get rid of, to remove,"
pái fàng,排放,6,"emission, discharge, exhaust (gas etc),"
pái huái,徘徊,6,"to dither, to hesitate, to pace back and forth, by ext. to hover around, to linger,"
pài bié,派别,6,"denomination, group, school, faction, school of thought,"
pài qiǎn,派遣,6,"to send (on a mission), to dispatch,"
pān dēng,攀登,6,"to climb, to pull oneself up, to clamber, to scale, fig. to forge ahead in the face of hardships and danger,"
pán xuán,盘旋,6,"to spiral, to circle, to go around, to hover, to orbit,"
pàn,畔,6,"bank, field-path,"
pàn jué,判决,6,"judgment (by a court of law), to pass judgment on, to sentence,"
páng dà,庞大,6,"huge, enormous, tremendous,"
pāo qì,抛弃,6,"to abandon, to discard, to renounce, to dump (sb),"
pào mò,泡沫,6,"foam, (soap) bubble, (economic) bubble,"
péi xùn,培训,6,"to cultivate, to train, to groom, training,"
péi yù,培育,6,"to train, to breed,"
pèi bèi,配备,6,"to allocate, to provide, to outfit with,"
pèi ǒu,配偶,6,"consort, mate, spouse,"
pèi tào,配套,6,"to form a complete set, coherent,"
pén dì,盆地,6,"basin (low-lying geographical feature), depression,"
pēng rèn,烹饪,6,"cooking, culinary arts,"
pěng,捧,6,"to clasp, to cup the hands, to hold up with both hands, to offer (esp. in cupped hands), to praise, to flatter,"
pī,劈,6,"to hack, to chop, to split open, (of lightning) to strike,"
pī fā,批发,6,"wholesale, bulk trade, distribution,"
pī pàn,批判,6,"to criticize, critique, CL:個|个[gè],"
pí bèi,疲惫,6,"beaten, exhausted, tired,"
pí juàn,疲倦,6,"to tire, tired,"
pí gé,皮革,6,"leather, CL:張|张[zhāng],"
pì gu,屁股,6,"buttocks, bottom, butt, back part,"
pì rú,譬如,6,"for example, for instance, such as,"
piān chā,偏差,6,"bias, deviation,"
piān jiàn,偏见,6,"prejudice,"
piān pì,偏僻,6,"remote, desolate, far from the city,"
piān piān,偏偏,6,"(indicates that sth turns out just the opposite of what one would expect or what would be normal), unfortunately, against expectations,"
piàn duàn,片断,6,"section, fragment, segment,"
piàn kè,片刻,6,"short period of time, a moment,"
piāo yáng,飘扬,6,"to wave, to flutter, to fly,"
piāo fú,漂浮,6,"to float, to hover, to drift (also fig., to lead a wandering life), to rove, showy, superficial,"
pīn bó,拼搏,6,"to struggle, to wrestle,"
pīn mìng,拼命,6,"to do one's utmost, with all one's might, at all costs, (to work or fight) as if one's life depends on it,"
pín fán,频繁,6,"frequently, often,"
pín lǜ,频率,6,"frequency,"
pín fá,贫乏,6,"lack, incomplete,"
pín kùn,贫困,6,"impoverished, poverty,"
pǐn cháng,品尝,6,"to taste a small amount, to sample,"
pǐn dé,品德,6,"moral character,"
pǐn xíng,品行,6,"behavior, moral conduct,"
pǐn zhì,品质,6,"quality,"
píng fán,平凡,6,"commonplace, ordinary, mediocre,"
píng miàn,平面,6,"plane (flat surface), print media,"
píng tǎn,平坦,6,"level, even, smooth, flat,"
píng xíng,平行,6,"parallel, of equal rank, simultaneous,"
píng yuán,平原,6,"field, plain, CL:個|个[gè],"
píng gū,评估,6,"to evaluate, to assess, assessment, evaluation,"
píng lùn,评论,6,"to comment on, to discuss, comment, commentary, CL:篇[piān],"
píng zhàng,屏障,6,"protective screen,"
pō,坡,6,"slope, CL:個|个[gè], sloping, slanted,"
pō,泼,6,"to splash, to spill, rough and coarse, brutish,"
pō,颇,6,"rather, quite, considerably (Taiwan pr. ), oblique, inclined, slanting,"
pò lì,破例,6,"to make an exception,"
pò bù jí dài,迫不及待,6,"impatient (idiom); in a hurry, itching to get on with it,"
pò hài,迫害,6,"to persecute, persecution,"
pò lì,魄力,6,"courage, daring, boldness, resolution, drive,"
pū,扑,6,"to throw oneself at, to pounce on, to devote one's energies, to flap, to flutter, to dab, to pat, to bend over,"
pū,铺,6,"to spread, to display, to set up, (old) holder for door-knocker,"
pǔ jí,普及,6,"popular, to popularize, universal, ubiquitous, pervasive,"
pǔ shí,朴实,6,"plain, simple, guileless, down-to-earth, sincere and honest,"
pù bù,瀑布,6,"waterfall,"
qī wàng,期望,6,"to have expectations, to earnestly hope, expectation, hope,"
qī xiàn,期限,6,"time limit, deadline, allotted time,"
qī fu,欺负,6,"to bully,"
qī piàn,欺骗,6,"to deceive, to cheat,"
qī liáng,凄凉,6,"desolate,"
qí miào,奇妙,6,"fantastic, wonderful,"
qí páo,旗袍,6,"Chinese-style dress, cheongsam,"
qí zhì,旗帜,6,"ensign, flag,"
qí quán,齐全,6,"complete,"
qí xīn xié lì,齐心协力,6,"to work with a common purpose (idiom); to make concerted efforts, to pull together, to work as one,"
qí shì,歧视,6,"to discriminate against, discrimination,"
qǐ cǎo,起草,6,"draft (a bill), draw up (plans),"
qǐ chū,起初,6,"originally, at first, at the outset,"
qǐ fú,起伏,6,"to move up and down, to undulate, ups and downs,"
qǐ hòng,起哄,6,"to heckle, rowdy jeering, to create a disturbance,"
qǐ mǎ,起码,6,"at the minimum, at the very least,"
qǐ yì,起义,6,"uprising, insurrection, revolt,"
qǐ yuán,起源,6,"origin, to originate, to come from,"
qǐ chéng,启程,6,"to set out on a journey,"
qǐ shì,启示,6,"enlightenment, revelation, apocalypse,"
qǐ shì,启事,6,"announcement (written, on billboard, letter, newspaper or website), to post information, a notice,"
qǐ gài,乞丐,6,"beggar,"
qǐ yǒu cǐ lǐ,岂有此理,6,"how can this be so? (idiom); preposterous, ridiculous, absurd,"
qì cái,器材,6,"equipment, material,"
qì guān,器官,6,"organ (part of body tissue), apparatus,"
qì gài,气概,6,"lofty quality, mettle, spirit,"
qì gōng,气功,6,"qigong, a system of deep breathing exercises,"
qì pò,气魄,6,"spirit, boldness, positive outlook, imposing attitude,"
qì sè,气色,6,"complexion,"
qì shì,气势,6,"imposing manner, loftiness, grandeur, energetic looks, vigor,"
qì wèi,气味,6,"odor, scent,"
qì xiàng,气象,6,"meteorological feature, CL:個|个[gè], meteorology, atmosphere, ambience, scene,"
qì yā,气压,6,"atmospheric pressure, barometric pressure,"
qì jīn wéi zhǐ,迄今为止,6,"so far, up to now, still (not),"
qiā,掐,6,"to pick (flowers), to pinch, to nip, to pinch off, to clutch, (slang) to fight,"
qià dàng,恰当,6,"appropriate, suitable,"
qià dào hǎo chù,恰到好处,6,"it's just perfect, it's just right,"
qià qiǎo,恰巧,6,"fortunately, unexpectedly, by coincidence,"
qià tán,洽谈,6,"to discuss,"
qiān chě,牵扯,6,"to involve, to implicate,"
qiān zhì,牵制,6,"to control, to curb, to restrict, to impede, to pin down (enemy troops),"
qiān fāng bǎi jì,千方百计,6,"lit. thousand ways, a hundred plans (idiom); by every possible means,"
qiān dìng,签订,6,"to agree to and sign (a treaty etc),"
qiān shǔ,签署,6,"to sign (an agreement),"
qiān jiù,迁就,6,"to yield, to adapt to, to accommodate to (sth),"
qiān xǐ,迁徙,6,"to migrate, to move,"
qiān xùn,谦逊,6,"humble, modest, unpretentious, modesty,"
qián jǐng,前景,6,"foreground, vista, (future) prospects, perspective,"
qián tí,前提,6,"premise, precondition, prerequisite,"
qián lì,潜力,6,"potential, capacity,"
qián shuǐ,潜水,6,"to dive, to go under water, lurker (Internet slang for sb who reads forum posts but never replies),"
qián yí mò huà,潜移默化,6,"imperceptible influence, to influence secretly,"
qiǎn zé,谴责,6,"to denounce, to condemn, to criticize, condemnation, criticism,"
qiáng zhì,强制,6,"to enforce, enforcement, forcibly, compulsory,"
qiǎng jié,抢劫,6,"to rob, looting,"
qiǎng jiù,抢救,6,"rescue,"
qiǎng pò,强迫,6,"to compel, to force,"
qiáo liáng,桥梁,6,"bridge, fig. connection between two areas,"
qiào,翘,6,"to stick up, to rise on one end, to tilt,"
qiè ér bù shě,锲而不舍,6,"to chip away at a task and not abandon it (idiom); to chisel away at sth, to persevere, unflagging efforts,"
qiè shí,切实,6,"feasible, earnestly, conscientiously, realistic, practical,"
qīn rè,亲热,6,"affectionate, intimate, warm-hearted,"
qīn shēn,亲身,6,"personal, oneself,"
qīn fàn,侵犯,6,"to infringe on, to encroach on, to violate,"
qīn pèi,钦佩,6,"to admire, to look up to, to respect sb greatly,"
