pinyin,hanzi,hsk,translation
piào,票,2,"ticket, ballot, bank note, CL:張|张[zhāng], person held for ransom, amateur performance of Chinese opera, classifier for shipments and business transactions (topolect),"
qī zi,妻子,2,"wife, CL:個|个[gè],"
qǐ chuáng,起床,2,"to get out of bed, to get up,"
qiān,千,2,"a swing,"
qíng,晴,2,"clear, fine (weather),"
qù nián,去年,2,"last year,"
ràng,让,2,"to yield, to permit, to let sb do sth, to have sb do sth,"
shàng bān,上班,2,"to go to work, to be on duty, to start work, to go to the office,"
shēn tǐ,身体,2,"(human) body, health, CL:個|个[gè],"
shēng bìng,生病,2,"to fall ill,"
shēng rì,生日,2,"birthday, CL:個|个[gè],"
shí jiān,时间,2,"time, period, CL:段[duàn],"
shì qing,事情,2,"affair, matter, thing, business, CL:件,樁|桩[zhuāng],"
shǒu biǎo,手表,2,"wrist watch, CL:塊|块,隻|只,個|个[gè],"
shǒu jī,手机,2,"cell phone, mobile phone, CL:部,支[zhī],"
sòng,送,2,"to deliver, to carry, to give (as a present), to present (with), to see off, to send,"
suǒ yǐ,所以,2,"therefore, as a result, so,"
tā,它,2,"it,"
tī,踢,2,"to kick, to play (e.g. soccer),"
tí,题,2,"topic, problem for discussion, exam question, subject, to inscribe, to mention, CL:個|个,道[dào],"
tiào wǔ,跳舞,2,"to dance,"
wài,外,2,"outside, in addition, foreign, external,"
wán,完,2,"to finish, to be over, whole, complete, entire,"
wán,玩,2,"toy, sth used for amusement, curio or antique (Taiwan pr. ), to play, to have fun, to trifle with, to keep sth for entertainment,"
wǎn shang,晚上,2,"evening, night, CL:個|个[gè], in the evening,"
wèi,为,2,"variant of 為|为, because of, for, to,"
wèn,问,2,"to ask,"
wèn tí,问题,2,"question, problem, issue, topic, CL:個|个[gè],"
xī guā,西瓜,2,"watermelon, CL:條|条[tiáo],"
xī wàng,希望,2,"to wish for, to desire, hope CL:個|个[gè],"
xǐ,洗,2,"to wash, to bathe, to develop (photo),"
xiàng,向,2,"towards, to face, to turn towards, direction, to support, to side with, shortly before, formerly, always, all along,"
xiǎo shí,小时,2,"hour, CL:個|个[gè],"
xiào,笑,2,"laugh, smile, CL:個|个[gè],"
xīn,新,2,"new, newly, meso- (chemistry),"
xìng,姓,2,"family name, surname, name, CL:個|个[gè],"
xiū xi,休息,2,"rest, to rest,"
xuě,雪,2,"snow, snowfall, CL:場|场[cháng], to have the appearance of snow, to wipe away, off or out, to clean,"
yán sè,颜色,2,"color, CL:個|个[gè],"
yǎn jing,眼睛,2,"eye, CL:隻|只,雙|双[shuāng],"
yáng ròu,羊肉,2,"mutton,"
yào,药,2,"medicine, drug, cure, CL:種|种,服[fù],"
yào,要,2,"important, vital, to want, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably,"
yě,也,2,"also, too, (in Classical Chinese) final particle implying affirmation,"
yǐ jīng,已经,2,"already,"
yī qǐ,一起,2,"in the same place, together, with, altogether (in total),"
yì si,意思,2,"idea, opinion, meaning, wish, desire, CL:個|个[gè],"
yīn,阴,2,"overcast (weather), cloudy, shady, Yin (the negative principle of Yin and Yang), negative (electric.), feminine, moon, implicit, hidden, genitalia,"
yīn wèi,因为,2,"because, owing to, on account of,"
yóu yǒng,游泳,2,"swimming, to swim,"
yòu bian,右边,2,"right side, right, to the right,"
