hanzi	freq	pinyin	eng
娲	443	wa1	(surname)/sister of Fu2 Xi1
虬	443	qiu2	young dragon with horns
萱	442	xuan1	Hemerocallis flava
蠡	441	li2/li3	calabash, wood-boring insect
芋	440	yu4	Colocasia antiquorum
胭	439	yan1	rouge
豺	438	chai2	ravenous beast/wolves (collect.)
啻	437	chi4	(not) just/(not) only
褛	437	lu:3/lv3	soiled/tattered
蛆	435	qu1	maggot
柠	434	ning2	lemon
掰	434	bai1	to break with both hands
篆	433	zhuan4	seal characters
倌	432	guan1	a groom
咛	432	ning2	enjoin
蛭	432	zhi4	fluke/leech/hirudinea
谡	431	su4	composed/rise/to begin
莞	431	guan1/guan3/wan3	Skimmia japonica, (district), smile
澹	431	dan4/tan2	tranquil/placid/quiet, (surname)
纭	431	yun2	confused/numerous
潞	430	lu4	(surname)/name of a river
郅	429	zhi4	(surname)/extremely
弋	428	yi4	to shoot
飕	428	sou1	blow (as of wind)/sound of wind
螳	428	tang2	praying mantis
胄	427	zhou4	helmet, descendants
蟑	427	zhang1	cockroach
猥	426	wei3	humble/rustic/plentiful
宓	426	mi4	(surname)/still/silent
昙	426	tan2	dark clouds
蟠	426	pan2	Trichina spiralis/to coil
柑	425	gan1	large tangerine
烯	425	xi1	alkene
匐	425	fu2	fall prostrate
濮	425	pu2	name of a river
仄	424	ze4	oblique tone
偈	424	ji4/jie2	Buddhist hymn/gatha/Buddhist verse, forceful/martial
蜃	424	shen4	(mythical animal)/clam/sea-serpent
箴	424	zhen1	warn
粼	424	lin2	clear (as of water)
嗥	423	hao2	howl/bawl/to bark/roar
褴	423	lan2	ragged garments
蕨	422	jue2	Pteridium aquilinum
蓟	421	ji4	cirsium/thistle
圩	421	wei2/xu1	dike
孪	420	luan2	twins
杳	420	yao3	dark and quiet/disappear
魇	420	yan3	nightmare
荤	419	hun1	meat dish
诿	419	wei3	shirk/give excuses
簪	419	zan1	hairpin
氲	418	yun1	heavy atmosphere
摞	417	luo4	pile up
飒	417	sa4	declining/sound of wind
镂	417	lou4	engrave/hard steel
舀	415	yao3	to scoop
夙	415	su4	morning
臧	413	zang1	(surname)/good/lucky
蒿	412	hao1	wormwood
貂	412	diao1	sable/marten
蜥	411	xi1	chameleon/Eumeces latiscutatus
蹩	411	bie2	limp
钛	410	tai4	titanium
獾	408	huan1	badger
濂	408	lian2	name of a river in Hunan
铠	408	kai3	armor
皙	408	xi1	white
霭	408	ai3	cloudy sky/friendly
鲈	408	lu2	common perch
叵	407	po3	not/thereupon
霾	407	mai2	dust-storm
泯	406	min3	obliterate/submerge
碴	405	cha2	fault/glass fragment/quarrel
鸵	405	tuo2	ostrich
峪	404	yu4	valley
饕	403	tao1	gluttonous
瘁	402	cui4	care-worn/distressed/tired/overworked/sick/weary
睢	402	sui1	(surname)/stare
鬃	401	zong1	bristles/horse's mane
迩	401	er3	near
纣	401	zhou4	name of an emperor/saddle crupper
夔	400	kui2	one-legged monster/respectful
垠	399	yin2	bank
饨	399	tun2	Chinese ravioli
榭	399	xie4	pavilion
隍	398	huang2	dry moat/god of city
娑	398	suo1	(phonetic)/loose
篝	398	gou1	bamboo frame for drying clothes
榔	397	lang2	(tree)
洌	397	lie4	pure/cleanse
浜	397	bang1	stream/creek
谔	396	e4	honest speech
汩	396	gu3	confused/extinguished
浣	396	huan4	to wash/to rinse/10 day period in the month (during Tang dynasty)
舐	396	shi4	to lick/lap
忻	395	xin1	happy
咻	394	xiu1	call out/jeer
鹑	394	chun2	quail
唑	394	zuo4	(phonetic)/-z + ole (chem.)
懋	393	mao4	be great/exert the mind
皎	393	jiao3	bright/white
诒	392	yi2	a present in writing/bequeath
麾	391	hui1	signal flag/to signal
辏	390	cou4	converge/hub of wheel
氐	389	di1/di3	name of an ancient tribe, foundation/on the whole
冽	389	lie4	cold and raw
箕	388	ji1	winnow basket
俚	387	li3	rustic
汴	386	bian4	name of a river in Henan/Henan
宸	386	chen2	imperial apartments
芍	385	shao2	Paeonia albiflora
捱	385	ai2	dawdle/suffer
摈	384	bin4	reject/expel/discard/exclude/renounce
摺	384	zhe2	folded document/to fold
簦	384	deng1	large umbrella for stalls
箔	383	bo2	bamboo screen/door screen/metal foil/leaf/sheet/tinsel
孀	382	shuang1	widow
怏	381	yang4	discontented
谝	380	pian3	brag
砧	379	zhen1	anvil
耄	379	mao4	aged
罂	379	ying1	earthen jar with small mouth
漕	379	cao2	transport by water/watercourse/canal
沣	378	feng1	name of a river
栾	378	luan2	Koelreuteria paniculata
烷	378	wan2	alkane
榷	375	que4	footbridge/toll, levy/monopoly
俑	375	yong3	wooden figures buried with the dead
沱	375	tuo2	tearful/to branch (of river)
缜	375	zhen3	fine and close
鹫	375	jiu4	black eagle/condor/cruel
蛳	374	si1	snail
剽	373	piao1	to rob/swift/nimble
衢	373	qu2	thoroughfare
泗	373	si4	place name/snivel
臊	372	sao1/sao4	smell of urine, bashfulness
瘴	371	zhang4	malaria/miasma
酚	370	fen1	phenol
纾	370	shu1	slow/to free from
晁	370	chao2	(surname)
孛	368	bei4/bo2	comet
炀	368	yang2	molten/smelt
憩	366	qi4	to rest
啮	364	nie4	gnaw
畿	364	ji1	territory around the capital
掸	363	dan3	brush away/dust off/a brush or duster/to dust
骁	363	xiao1	brave/good horse/strong
椽	362	chuan2	beam/rafters
侗	362	dong4/tong2	(ethnic group), ignorant
滦	361	luan2	name of a river
荩	361	jin4	Arthraxon ciliare/loyal
泓	361	hong2	clear/vast and deep
蚱	361	zha4	grasshopper
癜	361	dian4	erythema/leucoderm
酯	361	zhi3	ester
癸	360	gui3	10th heavenly stem
蚜	360	ya2	aphis
扪	360	men2	lay hands on/to cover
庑	360	wu3	veranda
歆	360	xin1	pleased/moved
蝮	360	fu4	venomous snake
蹶	360	jue2/jue3	stumble/trample/to kick (as a horse)
弈	358	yi4	Chinese chess game
庋	357	gui3	a cupboard or pantry to store
喟	356	kui4	to sigh
滂	356	pang1	rushing (water)
啕	355	tao2	wail
蛎	355	li4	oyster
獭	354	ta3	otter
槁	354	gao3	dry/rotten (as wood)
翊	354	yi4	assist/ready to fly/respect
龊	354	chuo4	dirty/small-minded
邺	353	ye4	(surname)/name of ancient district
莘	353	shen1/xin1	long/numerous, Asarum sieboldi
燮	353	xie4	(surname)/harmony/harmonize
剁	352	duo4	chop (meat)
铛	352	cheng1/dang1	frying pan/griddle, clank/clang/sound of metal
谗	351	chan2	slander/defame/misrepresent/to speak maliciously
镍	351	nie4	nickel
晔	350	ye4	bright light/to sparkle
燔	350	fan2	burn/to roast meat for sacrifice
涿	349	zhuo1	place name
醯	349	xi1	acyl
箩	348	luo2	basket
鄱	347	po2	name of a lake
睨	347	ni4	look askance
坳	346	ao4	a depression/cavity/hollow
鹭	346	lu4	heron
砷	346	shen1	arsenic
唏	345	xi1	sound of sobbing
琥	343	hu3	amber
殁	343	mo4	to end/to die
蚩	343	chi1	(surname)/ignorant/worm
泾	342	jing1	name of a river
缥	341	piao3/piao1	misty/indistinct
殓	340	lian4	prepare body for coffin
鳅	340	qiu1	loach
诋	339	di3	defame/to slander
刍	339	chu2	(surname)/cut grass/hay/straw/fodder
芷	339	zhi3	(plant root used for medicine)
嶙	339	lin2	ranges of hills
逅	339	hou4	meet unexpectedly
舫	339	fang3	2 boats lashed together/large boat
呓	338	yi4	talk in sleep
茁	337	zhuo2	increase/sprout
馑	337	jin3	time of famine or crop failure
妫	337	gui1	(surname)/name of a river
骧	337	xiang1	prance (as a horse)
擢	336	zhuo2	pull out/select
峋	336	xun2	ranges of hills
袂	336	mei4	sleeve of a robe
懑	335	men4	melancholy
涞	333	lai2	brook/ripple
祉	333	zhi3	felicity
踹	333	chuai4	kick/trample
沏	331	qi1	to steep (tea)
诳	331	kuang2	deceive/lies
噫	331	yi1	(interj. of approval)/belch
饽	331	bo1	cake/biscuit
饪	330	ren4	cooked food/cook until well done
绺	330	liu3	skein/tuft/lock
谘	329	zi1	consult
飧	328	sun1	supper
迳	328	jing4	way/path/direct/diameter
铡	327	zha2	lever-knife
枞	326	cong1	abies firma
熨	325	yu4/yun4	reconciled/smooth, an iron/to iron
鋈	324	wu4	-plated/to plate
荭	324	hong2	herb
赊	323	she1	buy on credit
俦	323	chou2	comrades/friends/companions
戛	323	jia2	a lance/standing alone
湎	322	mian3	drunk
觯	321	zhi4	goblet
龌	321	wo4	dirty/small-minded
挞	320	ta4	flog/rapid
嬴	320	ying2	full/profit/win
苻	320	fu2	Angelica anomala
嘁	320	qi1	whispering sound
鞯	320	jian1	saddle blanket
肽	319	tai4	peptide
恸	318	tong4	grief
迨	317	dai4	catch/seize/until
钰	317	yu4	hard metals
儆	316	jing3	warn/admonish
觎	315	yu2	passionately desire
讫	315	qi4	finished
滓	314	zi3	dregs/sediment
僮	314	tong2/zhuang4	boy, name of an ethnic group in Guangxi
媾	314	gou4	to marry/to copulate
龇	314	zi1	projecting teeth
胯	313	kua4	thigh/leg
涮	313	shuan4	rinse
绾	313	wan3	bind up/string together
杈	313	cha1/cha4	fork of a tree/pitchfork, branches of a tree/fork of a tree
斛	313	hu2	5 pecks (M)
觥	313	gong1	big/cup made of horn/horn wine container
疸	313	dan3/da	jaundice
卞	312	bian4	(surname)/hurried
愠	312	yun4	indignant/feel hurt
拮	311	jie2	antagonistic/laboring hard/pressed
庠	311	xiang2	asylum for the aged/school
烨	311	ye4	blaze of fire/glorious
菠	310	bo1	spinach
窈	310	yao3	deep/quiet and elegant
罄	309	qing4	entirely/exhausted/stern
囤	308	dun4/tun2	bin for grain, to store/hoard
弁	308	bian4	cap
奘	308	zang4/zhuang3	great, fat/stout
缫	308	sao1	reel silk from cocoons
腴	308	yu2	fat on belly/fertile/rich
缈	307	miao3	indistinct
喵	306	miao1	meow (onomat. for cat's mewing)
潢	306	huang2	dye paper/lake/pond/mount scroll
遛	306	liu4/liu2	to stroll/walk a horse/to linger
柚	306	you4	pomelo/shaddock
郏	305	jia2	name of a district in Henan
荻	305	di2	Anaphalis yedoensis
藜	305	li2	Chenopodium album
琨	305	kun1	(jade)
镳	304	biao1	darts/escort/horsebit
雉	303	zhi4	ringed pheasant
橐	302	tuo2	sack/tube for blowing fire
骈	301	pian2	literary style
蛉	301	ling2	sandfly
艮	301	gen4	a sign in trigram
搽	300	cha2	apply (ointment, powder)/smear/paint on
濡	300	ru2	dilatory/to moisten
寮	300	liao2	Laos/fellow-official/hut
柩	300	jiu4	bier
佗	299	tuo2	carry on the back
诜	298	shen1	inform/inquire
偻	297	lou2/lv3	hunchback
夯	296	hang1/ben4	drive piles
闱	296	wei2	door to women's room/gate to palace
谖	295	xuan1	Hemerocallis flava/false/forget
夥	295	huo3	assistant/partner/many/great/numerous
枸	295	gou1/gou3/ju3	Acgle sepiaria, Lycium chinense, Citrus medica
膑	295	bin4	kneecap/patella
虻	295	meng2	Tabanus trigonus/house fly
筠	295	yun2/jun1	skin of bamboo
埽	294	sao4	broom/dike
笞	294	chi1	to whip with bamboo strips
臾	294	yu2	(surname)/a moment/little while
婀	293	e1	graceful/willowy/unstable
珞	292	luo4	neck-ornament
粑	292	ba1	tsamba (food in Tibet)
怵	291	chu4	fearful/timid/to fear
绻	291	quan3	bound in a league
殒	291	yun3	perish/die
觊	291	ji4	covet/long for
崂	291	lao2	name of a mountain in Shandong
颧	290	quan2	cheek bones
嗑	290	ke4/ke1	to crack (seeds) with front teeth
榛	290	zhen1	hazel tree/Corylus heterophylla
昱	290	yu4	bright light
蜴	289	yi4	chameleon/Eumeces latiscutatus
鳝	289	shan4	Chinese yellow eel
噙	288	qin2	hold in the mouth
淼	288	miao3	a flood/infinity
矾	287	fan2	alum
硼	287	peng2	boron
囿	287	you4	park/to limit/be limited to
泅	286	qiu2	submerge/swim under water
邂	286	xie4	meet unexpectedly
钜	286	ju4	great/hard iron
蠹	286	du4	bookworm/Lepisma saccharina
垩	285	e4	to whitewash/to plaster
乩	283	ji1	to divine
嗝	283	ge2	hiccup/belch
淦	283	gan4	name of a river
樽	282	zun1	goblet/bottle/wine-jar
诮	280	qiao4	ridicule/to blame
揆	279	kui2	consider/estimate
啐	279	cui4	sip/spit
淅	279	xi1	sound of rain/sleet etc.
榉	279	ju3	Zeikowa acuminata
馗	278	kui2	cheekbone/crossroads/high
辔	278	pei4	bridle/reins
暹	278	xian1	Siam
骛	278	wu4	fast/greedy/run rapidly
鱿	278	you2	cuttlefish
苫	277	shan1	straw mat/thatch
獠	277	liao2	fierce/hunt/name of a tribe
詈	277	li4	curse/scold
竦	277	song3	horrified/incite/raise
篙	276	gao1	pole for punting boats
诨	276	hun4	jest/nickname
铰	275	jiao3	scissors/to cut (with scissors)
馄	275	hun2	Chinese ravioli
蜚	275	fei3/fei1	gad-fly
峒	275	tong2/dong4	name of a mountain
滢	275	ying2	clear/limpid (of water)
琬	274	wan3	ensign of royalty
靓	274	jing4/liang4	make up (face)
狻	273	suan1	(mythical animal)
璨	273	can4	gem/luster of gem
鸬	272	lu2	fishing cormorant
芩	271	qin2	Phragmites japonica
嘹	271	liao2	clear sound/cry (of cranes etc.)
锟	271	kun1	steel sword
蜇	271	zhe1/zhe2	to sting, jellyfish
洹	270	huan2	name of a river
俪	269	li4	husband and wife
钍	269	tu3	thorium
瑁	268	mao4	(jade)
壹	267	yi1	one (alternate form of 一 used on checks)
痿	267	wei3	atrophy
粕	266	po4	grains in distilled liquor
犄	266	ji1	ox-horns/wing of an army
饯	265	jian4	farewell dinner/preserves
抟	265	tuan2	roll round with hand
衲	265	na4	cassock/to line
踮	264	dian3	tip toe
龅	264	pao2/bao1	projecting teeth
愎	262	bi4	perverse/obstinate
梏	261	gu4	braces (med.)/fetters/manacles
讣	260	fu4	obituary notice
邝	260	kuang4	(surname)
趺	260	fu1	instep/tarsus
鲟	260	xun2	acipenser sp./sturgeon
剜	259	wan1	scoop out
绉	259	zhou4	crepe/wrinkle
罅	259	xia4	crack/grudge
笥	259	si4	hamper/trunk
衩	258	cha3/cha4	open seam of a garment/shorts/panties, slit on either side of robe
姣	257	jiao1	(surname)/cunning/pretty
斫	257	zhuo2	chop/carve wood
鹗	257	e4	fish eagle/fish hawk/osprey
爻	256	yao2	lines on a trigram
猕	256	mi2	macaque
铩	256	sha1	spear
窕	256	tiao3	quiet and elegant
仨	255	sa1	three (of)
搡	255	sang3	push back/push over
崴	255	wei1/wai3	high, lofty/precipitous
酢	255	zuo4	toast to host by guest
檄	254	xi2	dispatch/order
佞	254	ning4	eloquent/talent
孑	254	jie2	alone/mosquito larvae/small
璀	254	cui3	luster of gems
岷	253	min2	name of a river in Sichuan
舛	253	chuan3	mistaken/erroneous/contradictory
邕	253	yong1	harmonious
铂	252	bo2	platinum
霁	252	ji4	sky clearing up
犒	251	kao4	give a bonus to
馏	250	liu4/liu2	reheat by steaming
阈	250	yu4	threshold
麋	250	mi2	(surname)/moose/river bank
麒	250	qi2	mythical unicorn
苁	249	cong1	Boschniakia glabra
摁	249	en4	to press (with finger)
涔	249	cen2	overflow/rainwater/tearful
宥	249	you4	forgive/help/profound
妍	249	yan2	beautiful
铤	249	ding4/ting3	ingot, big arrow/walk fast
锷	249	e4	blade edge/sharp
恽	248	yun4	(surname)
麂	248	ji3	Moschus chinensis
赝	247	yan4	false
胛	247	jia3	shoulder blade
哂	246	shen3	smile
撷	245	xie2	collect
呶	245	nao2	clamor
噘	245	jue1	pout
懔	245	lin3	fear
栎	245	li4	oak/Quercus serrata
桎	245	zhi4	fetters
霰	245	xian4	sleet
飨	245	xiang3	offer or enjoy sacrifice
揄	244	yu2	draw out/let hanging
娣	244	di4	wife of a younger brother
薏	243	yi4	Coix lacryma
忝	243	tian3	to shame
迤	242	yi2/yi3	winding, extending to
贲	242	ben1/bi4	energetic, bright
胪	242	lu2	belly/skin/to state
鍪	242	mou2	iron pot/metal cap
泸	242	lu2	name of a river/place name
蔫	241	nian1	fade/wither
刈	241	yi4	mow
僖	241	xi1	(surname)/cautious/merry/joyful
咿	241	yi1	(onomat.)
鹌	241	an1	quail
茏	239	long2	Polygonum posumbu
茯	239	fu2	Pachyma cocos/china root
岫	239	xiu4	cave/mountain peak
嵘	239	rong2	lofty
怼	239	dui4	dislike/hate
铨	239	quan2	estimate/select
昕	237	xin1	dawn
郢	236	ying3	name of an ancient city
咩	236	mie1	the bleating of sheep
馊	236	sou1	rancid/soured (as food)
髡	236	kun1	make the head bald
澧	236	li3	(surname)/name of a river
苣	235	ju4	(lettuce)
濯	235	zhuo2	rinse/to cleanse
盥	235	guan4	wash (especially hands)
囡	234	nan1	one's daughter/to filch/to secrete
砺	234	li4	grind/sandstone
佘	233	she2	(surname)
谶	233	chen4	prophecy/omen
弑	233	shi4	murder a superior
楂	233	cha2/zha1	fell trees/raft/to hew, Chinese quince/hawthorn
翦	233	jian3	cut with scissors/scissors
怩	232	ni2	shy, timid, bashful/look ashame
霏	232	fei1	fall of snow
楹	232	ying2	pillar
讴	231	ou1	sing ballads/songs
锲	231	qie4	cut/to carve
慵	230	yong1	careless
胝	230	zhi1	callous
砭	230	bian1	a stone probe/acupuncture
潍	229	wei2	name of a river
杵	229	chu3	pestle/to poke
樾	229	yue4	shade of trees
帼	228	guo2	cap worn by women/feminine
碣	228	jie2	stone tablet
诌	227	zou1/zhou1	make up (a story)
徕	227	lai2	to come
胴	227	dong4	large intestine/torso
钴	227	gu3	cobalt
裟	227	sha1	Buddhist monk's robe
啶	227	ding4	-d + ine (chem.)
铣	226	xian3/xi3	shining metal
铱	226	yi1	iridium
楫	226	ji2	oar/to row
赭	226	zhe3	ocher
碛	225	qi4	moraine/rocks in shallow water
酊	225	ding3	intoxicated
魑	225	chi1	mountain elf
醛	225	quan2	aldehyde
剐	224	gua3	cut off the flesh as punishment
畦	224	qi2	furrow/small plot of farm land
陂	224	pi2/po1/bei1	reservoir, rugged/uneven
阄	224	jiu1	(draw) lots/lot (in a game of chance)
祚	223	zuo4	blessing/the throne
鹘	223	hu2/gu3	falcon/migratory bird
泱	222	yang1	agitated (wind, cloud)/boundless
趄	222	ju1/qie4	hesitate/mark time, recline
骅	222	hua2	chestnut horse
陲	222	chui2	frontier
郧	221	yun2	name of a feudal state
倜	221	ti4	energetic/exalted/magnanimous
呤	221	ling2/ling4	purine in chem. compound/whisper
燧	221	sui4	fire/speculum
铉	221	xuan4	stand for bronze tripod (archeol.)/used in names, e.g. 卢武铉 President Loh Roh Mu-hyun of South Korea
粲	220	can4	beautiful/bright/splendid/smilingly
忸	219	niu3	accustomed to/blush/be shy
渌	219	lu4	clear (water)/strain liquids
骞	219	qian1	defective/raise
髭	219	zi1	mustache
戡	219	kan1	kill/suppress
钨	218	wu1	tungsten
谲	218	jue2	deceitful
苋	218	xian4	Amarantus mangostanus
蜊	218	li2	clam
幄	217	wo4	tent
闼	217	ta4	door of an inner room
骊	217	li2	black horse/good horse
虢	217	guo2	name of an ancient state
烩	216	hui4	cooked in soy and vinegar
傥	216	tang3	if/unexpectedly
妲	216	da2	concubine of last Shang emperor
绌	216	chu4	crimson silk/deficiency/to stitch
桠	216	ya1	forking branch
袈	216	jia1	Buddhist monk's robe
薮	215	sou3	marsh/place of concourse
揿	215	qin4	to press (bell)
杲	215	gao3	high/sun shines brightly/to shine
肓	215	huang1	region between heart and diaphragm
厝	214	cuo4	bury/to place/dispose
莅	214	li4	attend (official functions)
氤	214	yin1	generative forces/magic emanation
缙	214	jin4	red silk
衮	213	gun3	imperial robe
诟	213	gou4	sense of shame/to abuse
旖	213	yi3	fluttering of flag
硒	213	xi1	selenium
唁	212	yan4	condole with
嬗	212	shan4	changes and succession
硎	212	xing2	whetstone
裱	212	biao3	hang (paper)/mount (painting)
颦	212	pin2	knit the brows
靥	211	ye4	dimple
纥	211	ge1/he2	knot, tassels
煨	211	wei1	simmer/to roast in ashes
礴	211	bo2	fill/extend
鏖	211	ao2	violent fighting
蝈	210	guo1	cyrtophyllus sp.
笏	210	hu4	tablet held at an audience
羿	210	yi4	name of a famous archer
鼐	209	nai4	incense tripod
湟	209	huang2	name of a river
甑	209	zeng4	caldron/rice pot
炜	209	wei3	glow/raging fire
煲	209	bao1	pot or saucepan/to boil/cook or heat
锉	209	cuo4	to file, a file (tool for shaping metal)/to file
笕	209	jian3	bamboo water pipe
喑	208	yin1	dumb
嶂	208	zhang4	cliff/range of peaks
浔	208	xun2	name of a river/steep bank
弭	208	mi3	to stop/repress
妪	208	yu4	brood over/old woman/protect
锂	208	li3	lithium
苡	207	yi3	plantago major l. var. asiatica
孳	207	zi1	industrious/produce/bear
颏	207	ke1/ke2	chin, chin
醴	207	li3	sweet wine
渚	206	zhu3	islet/bank
轭	206	e4	restrain/yoke
鹬	206	yu4	common snipe
膘	205	biao1	fat of a stock animal
邛	205	qiong2	mound/place name
痨	205	lao2	tuberculosis
褡	205	da1	cummerbund
耦	205	ou3	pair/mate/ploughshare
覃	205	tan2	(surname)/deep
馔	204	zhuan4	food/delicacies
篾	204	mie4	bamboo splints for baskets
兖	203	yan3	place name
遨	203	ao2	make excursion/ramble/travel
爰	203	yuan2	therefore/to lead on to
痂	203	jia1	scab
艄	203	shao1	stern of boat
耨	203	nou4	hoe
沤	202	ou1/ou4	bubble/froth, steep
秣	202	mo4	feed a horse with grain/horse feed
昶	202	chang3	bright/long day
绦	200	tao1	braid/cord/sash
俎	200	zu3	a stand for food at sacrifice
榫	199	sun3	tenon and mortise
蟪	199	hui4	(cicada)/Platypleura kaempferi
稗	198	bai4	millet/Panicum crus
謇	198	jian3	speak out boldly
氩	198	ya4	argonium
锴	198	kai3	high quality iron
龉	198	yu3	irregular teeth
烃	198	ting1	hydrocarbon
俣	197	yu3	big
嬷	197	ma1/mo2	ma/mamma
肱	197	gong1	brachium/humerus
鸢	197	yuan1	kite
笫	197	zi3	planks of bed/sleeping-mat
痤	197	cuo2	acne
莆	196	pu2	place name
芨	196	ji2/ji1	Bletilla hyacinthina (mucilaginous)/Acronym for the Chinese Elder tree ?草
阕	196	que4	section of a song/shut
砣	196	tuo2	steelyard weight
鼹	196	yan3	mole
猷	195	you2	consult with/to scheme
竽	195	yu2	(mus. instr.)
舸	195	ge3	barge
诓	194	kuang1	mislead/to swindle
錾	194	zan4	engrave
淬	193	cui4	dip into water/to temper
隗	193	wei3	(surname)/eminent/lofty
悌	193	ti4	do one's duty as a younger brother
姘	193	pin1	be a mistress or lover
邈	193	miao3	profound/remote
婕	193	jie2	handsome
歙	192	she4/xi1	name of a district in Anhui
稹	192	zhen3	accumulate/fine and close
蹴	192	cu4	carefully/kick/tread on/stamp
砒	191	pi1	arsenic
痈	191	yong1	carbuncle
镏	191	liu2	lutecium
羯	191	jie2	castrate a ram/deer's skin
豕	191	shi3	hog/swine
鲂	191	fang2	bream/Zeus japanicus
蓖	190	bi4	the castor-oil plant
匦	190	gui3	small box
笤	190	tiao2	broom
峥	189	zheng1	excel/lofty
徭	189	yao2	compulsory service
烊	189	yang2	molten/smelt
酆	188	feng1	(surname)/name of an ancient city
缢	188	yi4	hang/strangle oneself
褓	188	bao3	cloth for carrying baby on back
蚨	188	fu2	(water-beetle)/money
翳	188	yi4	feather screen/to screen/to shade
趔	188	lie4	stumble
炔	187	que1/gui4	alkyne
誊	187	teng2	make a (clean) copy
赜	187	ze2	mysterious
仃	187	ding1	alone
勖	187	xu4	exhort/stimulate
葺	187	qi4	to repair
蚴	187	you4	larva
泷	187	long2/shuang1	torrential (rain), name of a river in Guangdong
蛴	187	qi2	larva/maggot
媸	186	chi1	ugly woman
俳	185	pai2	irresolute/not serious/variety show
诖	185	gua4	deceive/disturb
茑	185	niao3	grossulariaceae
逡	185	qun1	shrink from
孱	185	can4/chan2	dodger, coward/weak
砦	185	zhai4	stronghold/stockade
跸	185	bi4	to clear streets when emperor tours
祜	185	hu4	celestial blessing
伉	184	kang4	husband/wife
溴	184	xiu4	bromine
屐	184	ji1	clogs
掮	183	qian2	carry on shoulders
崆	183	kong1	name of a mountain
庾	183	yu3	(surname)/name of a mountain
橛	183	jue2	a peg/low post
鸨	183	bao3	Chinese bustard/procuress
圻	183	qi2	boundary/a border
缂	183	ke4	to woof
蒯	183	kuai3	a rush/scirpus cyperinus
诹	182	zou1	choose/consult
啭	182	zhuan4	sing, chirp, warble, twitter
饧	182	xing2/tang2	malt-sugar/molasses
镉	182	ge2	cadmium
鸪	182	gu1	partridge/Francolinus chinensis
蛩	182	qiong2	anxious/grasshopper/a cricket
蠖	182	huo4	looper caterpillar
劭	181	shao4	(surname)/stimulate to effort
崧	181	song1	lofty/name of a mountain in Henan
杼	181	zhu4	shuttle of a loom
棂	181	ling2	lattice, the lattice of a window a sill, a lintel
螫	181	shi4/zhe1	to sting, to sting
龃	181	ju3	irregular/uneven teeth
饔	181	yong1	dressed food/first meal of the day
遑	181	huang2	leisure
颢	181	hao4	bright/white
腱	180	jian4	gristle
襁	180	qiang3	cloth for carrying baby on back
忾	179	kai4	anger
濠	179	hao2	trench
牝	179	pin4	female
蛄	179	gu1	mole-cricket
嗄	178	a2/sha4	ah (exclamatory part.), hoarse
灏	178	hao4	vast (of water)
疥	177	jie4	scabies
苜	177	mu4	clover
荞	177	qiao2	buckwheat
夤	177	yin2	late at night
颞	177	nie4	temporal bones
忤	176	wu3	disobedient/unfilial
遢	176	ta4/ta1	careless, negligent, slipshod
旎	176	ni3	fluttering of flags
魉	176	liang3	sprite/fairy
辇	176	nian3	emperor's carriage
瓤	175	rang2	pulp of fruit
荥	175	xing2/ying2	place name
娌	175	li3	husband's brother's wife
氚	175	chuan1	tritium
毂	175	gu1/gu3	wheel, hub of wheel
碇	175	ding4	anchor
毖	174	bi4	careful/prevent
壅	174	yong1	obstruct/stop up
缛	174	ru4	adorned/beautiful
玮	174	wei3	(reddish jade)/precious/rare
羟	174	qiang3	hydroxyl (radical)
珈	173	jia1	gamma/jewelry
颀	173	qi2	tall
虼	173	ge4	flea
翕	172	xi4/xi1	agree
遴	172	lin2	(surname)/select for appointment
珏	172	jue2	gems mounted together
郛	172	fu2	suburbs
玖	171	jiu3	(black stone)/nine (fraud-proof)
蹇	171	jian3	(surname)/difficulty/lame
逋	171	bu1	flee/abscond/owe
氅	171	chang3	overcoat
粽	171	zong4	rice dumplings wrapped in leaves
诂	171	gu3	comment/explain
岢	170	ke3	name of a mountain
髁	170	ke1	condyles
黍	169	shu3	broomcorn millet/glutinous millet
芾	169	fei4/fu2	small, luxuriance of vegetation
淝	169	fei2	name of a river
鲎	169	hou4	king crab
鞣	169	rou2	suede/chamois/tannin/to tan
髋	169	kuan1	pelvis/pelvic
闳	169	hong2	(surname)/big/gate
潆	169	ying2	eddy/small river
汨	168	mi4	name of a river
胍	168	gua1	guanidine
阏	167	e4/yan1	shut/stop, first wives of xiong-nu chiefs
钤	167	qian2	latch of door/seal
鬈	167	quan2	to curl/curled
铵	167	an3	ammonium
戬	167	jian3	carry to the utmost/to cut
崮	166	gu4	(element in mountain names)
枰	166	ping2	chess-like game
樯	166	qiang2	boom/mast
脍	166	kuai4	chopped meat or fish
畲	166	yu2/she1	cultivated field
衾	166	qin1	coverlet/quilt
蹼	166	pu3	web (of feet of ducks, frogs, etc.)
劬	165	qu2	labor
囫	165	hu2	whole/in one lump
洱	165	er3	name of a river
刎	164	wen3	cut across (throat)
碚	164	bei4	place name in Chongqing
鳕	164	xue3	codfish/Gadus macrocephalus
谪	163	zhe2	disgrace (an official)/find fault
恂	163	xun2	sincere
槿	163	jin3	Hibiscus syriacus/transient
鲢	163	lian2	Hypophthalmichthys moritrix
鲧	163	gun3	father of great yeu
嘧	163	mi4	(phonetic) as in pyrimidine
绀	163	gan4	violet or purple
郦	162	li4	(surname)/ancient place name
噱	162	jue2	loud laughter
浠	162	xi1	name of a river in Hubei
潸	162	shan1	tearfully
