hanzi	freq	pinyin	eng
给	217815	gei3/ji3	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide
世	214990	shi4	life/age/generation/era/world/lifetime
位	214983	wei4	position/location/(measure word for persons)/place/seat
次	214857	ci4	nth/number (of times)/order/sequence/next/second(ary)/(measure word)
度	214376	du4	capacity/degree/standard
门	212769	men2	opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)
任	212485	ren4	to assign/to appoint/office/responsibility
常	212309	chang2	always/ever/often/frequently/common/general/constant
先	210628	xian1	early/prior/former/in advance/first
海	209302	hai3	ocean/sea
通	209046	tong1	go through/know well/to connect/to communicate/open
教	208875	jiao1/jiao4	teach, religion/teaching
儿	207827	er2/er	son, non-syllabic dimi. suff.
原	207579	yuan2	former/original/primary/raw/level/cause/source
东	206238	dong1	east
声	206083	sheng1	sound/voice/(a measure word, used for sounds)/tone/noise
提	205159	di1/ti2	carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention
立	204985	li4	set up/to stand
及	202671	ji2	to reach/and
比	200645	bi3/bi4	"(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near"
员	200217	yuan2	person/employee/member
解	200090	jie3/jie4/xie4	to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)
水	198933	shui3	water/river
名	198481	ming2	name/(measure word for persons)/place (e.g. among winners)
真	198416	zhen1	real/true/genuine
论	197165	lun2/lun4	the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss
处	194237	chu3/chu4	to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect
走	193619	zou3	to walk/to go/to move
义	193507	yi4	justice/righteousness/meaning
各	193435	ge4	each/every
入	192433	ru4	to enter
几	192355	ji1/ji3	small table, almost, a few/how many, how much/how many/several/a few
口	191936	kou3	mouth/(a measure word)
认	191866	ren4	to recognize/to know/to admit
条	191280	tiao2	measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article
平	191267	ping2	flat/level/equal/to make the same score/to tie/to draw/calm/peaceful
系	190769	xi4	be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie
气	190687	qi4	air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged
题	189921	ti2	topic/subject/to inscribe/to superscribe
活	189876	huo2	to live/alive/living/work/workmanship
尔	189785	er3	thus/so/like that/you/thou
更	187378	geng1/geng4	to change, more/even more/further/still/still more
别	186634	bie2/bie4	leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward
打	186146	da2/da3	dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from
女	185188	nu:3/nv3	female/woman
变	185121	bian4	to change/to become different/to transform/to vary/rebellion
四	184874	si4	four/4
神	184554	shen2	God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being
总	184470	zong3	always/to assemble/gather/total/overall/head/chief/general/in every case
何	184335	he2	carry/what/how/why/which
电	183834	dian4	electric/electricity/electrical
数	183312	shu3/shu4/shuo4	to count, number/figure/to count/to calculate/several, frequently/repeatedly
安	183210	an1	content/calm/still/quiet/to pacify/peace
少	183018	shao3/shao4	few/little/lack, young
报	182411	bao4	to announce/to inform/report/newspaper/recompense/revenge
才	181725	cai2	ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until
结	181674	jie1/jie2	knot/sturdy/to bear (fruit)/bond/to tie/to bind
反	181385	fan3	wrong side out or up/anti-
受	180928	shou4	to bear/to stand/to endure/(passive marker)/to receive
目	180827	mu4	eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title
太	180490	tai4	highest/greatest/too (much)/very/extremely
量	180008	liang2/liang4	to measure, capacity/quantity/amount/to estimate
再	179607	zai4	again/once more/re-/second/another
感	178383	gan3	to feel/to move/to touch/to affect
建	178289	jian4	to establish/to found/to set up/to build/to construct
务	176085	wu4	affair/business/matter
做	175580	zuo4	to do/to make/to produce
接	175473	jie1	to extend/to connect/to receive/to join
必	174963	bi4	certainly/must/will/necessarily
场	173632	chang3	a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)
件	172895	jian4	a measure word for thing, clothes, item
计	171949	ji4	to calculate/to compute/to count/reckon/ruse/to plan
管	170746	guan3	to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe
期	169806	qi1	a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope
市	169522	shi4	market/city
直	169439	zhi2	straight/vertical/frank/directly/straightly/upright
德	168917	de2	Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind
资	168890	zi1	resources/capital/to provide/to supply/to support/money/expense
命	168358	ming4	life/fate
山	168142	shan1	mountain/hill
金	167912	jin1	metal/money/gold
指	166865	zhi3	finger/to point/to direct/to indicate
克	166044	ke4	gram/subdue/to restrain/to overcome, subdue
